# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: (12C13C/(12C2*2+12C13C))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=0		POL=0		POL=0		POL=0		POL=3		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=1		POL=1		POL=5		POL=0		POL=0		POL=0		POL=1		POL=1		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=5		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=1		POL=0		POL=0		POL=0		POL=0		POL=1		POL=0		POL=0		POL=1	
1	7.565e+00	6.711e-01	7.597e+00	3.531e-01	8.185e+00	6.551e-01	1.365e+00	1.273e-01	3.137e+00	1.036e-01	1.132e+00	1.184e-01	8.560e+00	4.132e-01	7.449e+00	4.362e-01	7.584e+00	3.265e-01	1.272e+00	1.576e-01	8.015e+00	2.897e-01	7.639e+00	4.712e-01	8.448e+00	3.231e-01	8.251e+00	2.875e-01	8.730e+00	4.054e-01	8.432e+00	4.566e-01	9.466e+00	6.123e-01	8.667e+00	2.771e-01	9.142e+00	4.321e-01	8.654e+00	2.204e-01	5.833e+00	2.923e-01	8.160e+00	3.417e-01	8.962e+00	4.641e-01	9.208e+00	6.016e-01	6.911e+00	6.526e-01	9.836e+00	4.711e-01	3.454e+00	1.882e-01	8.825e+00	3.349e-01	8.828e+00	3.466e-01	7.265e+00	6.376e-01	9.654e+00	4.431e-01	9.875e+00	8.275e-01	9.038e+00	4.910e-01	9.205e+00	2.602e-01	9.555e+00	2.838e-01	7.663e+00	2.900e-01	6.968e+00	6.722e-01	9.630e+00	4.547e-01	8.988e+00	3.960e-01	8.900e+00	3.343e-01	9.456e+00	5.470e-01	9.420e+00	3.440e-01	7.671e+00	3.156e-01	9.741e+00	3.997e-01	9.520e+00	3.569e-01	9.205e+00	3.206e-01	8.692e+00	5.878e-01	9.543e+00	2.312e-01	1.001e+01	4.378e-01	1.044e+01	4.909e-01
2	8.293e+00	7.001e-01	7.484e+00	3.570e-01	8.551e+00	6.889e-01	1.310e+00	1.249e-01	3.352e+00	1.088e-01	1.330e+00	1.310e-01	8.718e+00	4.191e-01	7.417e+00	4.286e-01	7.410e+00	3.231e-01	1.076e+00	1.479e-01	7.977e+00	2.883e-01	8.485e+00	5.263e-01	8.388e+00	3.124e-01	8.145e+00	2.789e-01	9.006e+00	4.105e-01	8.898e+00	4.883e-01	1.032e+01	6.348e-01	8.300e+00	2.670e-01	8.957e+00	4.287e-01	8.347e+00	2.167e-01	5.947e+00	2.943e-01	8.390e+00	3.571e-01	8.779e+00	4.628e-01	8.062e+00	5.675e-01	8.764e+00	7.646e-01	9.938e+00	4.785e-01	3.620e+00	1.930e-01	8.525e+00	3.197e-01	8.927e+00	3.454e-01	7.464e+00	6.314e-01	8.939e+00	4.269e-01	1.023e+01	8.564e-01	9.277e+00	4.986e-01	9.138e+00	2.533e-01	9.148e+00	2.671e-01	8.045e+00	3.070e-01	7.934e+00	7.143e-01	8.543e+00	4.233e-01	9.430e+00	4.017e-01	9.204e+00	3.250e-01	9.422e+00	5.338e-01	1.019e+01	3.675e-01	7.316e+00	3.070e-01	9.450e+00	3.915e-01	9.327e+00	3.500e-01	9.050e+00	3.229e-01	8.367e+00	5.751e-01	9.562e+00	2.313e-01	1.050e+01	4.400e-01	9.958e+00	4.726e-01
3	7.704e+00	6.626e-01	7.622e+00	3.696e-01	9.240e+00	7.229e-01	1.136e+00	1.178e-01	3.402e+00	1.108e-01	1.418e+00	1.365e-01	8.408e+00	4.105e-01	7.845e+00	4.561e-01	7.338e+00	3.236e-01	1.107e+00	1.544e-01	8.175e+00	2.968e-01	7.885e+00	4.879e-01	8.478e+00	3.044e-01	8.412e+00	2.806e-01	9.100e+00	4.117e-01	8.343e+00	4.713e-01	1.006e+01	6.286e-01	8.347e+00	2.866e-01	9.912e+00	4.580e-01	8.662e+00	2.203e-01	5.487e+00	2.820e-01	8.140e+00	3.615e-01	9.087e+00	4.639e-01	9.965e+00	6.385e-01	8.004e+00	7.361e-01	9.998e+00	4.718e-01	3.680e+00	1.931e-01	9.100e+00	3.377e-01	8.814e+00	3.410e-01	8.142e+00	6.716e-01	9.049e+00	4.212e-01	1.054e+01	8.341e-01	9.000e+00	4.865e-01	9.227e+00	2.576e-01	9.321e+00	2.765e-01	7.703e+00	3.060e-01	7.111e+00	6.972e-01	9.892e+00	4.581e-01	9.359e+00	4.045e-01	9.130e+00	3.297e-01	1.037e+01	5.623e-01	1.005e+01	3.681e-01	7.707e+00	3.237e-01	9.868e+00	4.007e-01	9.496e+00	3.598e-01	8.811e+00	3.167e-01	7.354e+00	5.163e-01	9.266e+00	2.298e-01	1.006e+01	4.362e-01	9.944e+00	4.691e-01
4	8.108e+00	6.906e-01	7.078e+00	3.583e-01	8.703e+00	6.915e-01	1.248e+00	1.253e-01	3.348e+00	1.104e-01	1.290e+00	1.282e-01	8.198e+00	4.131e-01	7.650e+00	4.447e-01	6.913e+00	3.153e-01	1.251e+00	1.645e-01	8.233e+00	2.997e-01	7.934e+00	4.986e-01	8.538e+00	3.073e-01	8.313e+00	2.788e-01	9.001e+00	4.110e-01	8.177e+00	4.655e-01	9.377e+00	6.051e-01	8.738e+00	3.134e-01	9.306e+00	4.392e-01	8.487e+00	2.165e-01	5.461e+00	2.848e-01	8.281e+00	3.636e-01	9.293e+00	4.615e-01	9.421e+00	6.087e-01	7.749e+00	7.202e-01	9.412e+00	4.643e-01	3.395e+00	1.858e-01	8.749e+00	3.304e-01	8.952e+00	3.471e-01	7.422e+00	6.439e-01	9.351e+00	4.351e-01	1.043e+01	8.540e-01	9.594e+00	5.055e-01	9.332e+00	2.578e-01	9.568e+00	2.680e-01	7.895e+00	3.091e-01	6.439e+00	6.481e-01	9.030e+00	4.346e-01	9.188e+00	4.019e-01	8.717e+00	3.231e-01	9.244e+00	5.310e-01	9.784e+00	3.636e-01	7.527e+00	3.191e-01	9.546e+00	3.947e-01	9.080e+00	3.510e-01	8.567e+00	3.085e-01	7.939e+00	5.254e-01	9.429e+00	2.324e-01	1.025e+01	4.377e-01	9.505e+00	4.580e-01
5	7.336e+00	6.608e-01	7.692e+00	3.677e-01	8.299e+00	6.830e-01	1.351e+00	1.309e-01	3.276e+00	1.100e-01	1.211e+00	1.254e-01	7.647e+00	3.908e-01	7.474e+00	4.314e-01	7.346e+00	3.353e-01	1.213e+00	1.624e-01	7.676e+00	2.937e-01	8.063e+00	5.062e-01	8.330e+00	2.994e-01	8.093e+00	2.722e-01	8.580e+00	3.932e-01	7.723e+00	4.566e-01	9.857e+00	6.144e-01	8.107e+00	3.461e-01	9.738e+00	4.579e-01	8.576e+00	2.168e-01	5.736e+00	2.921e-01	7.692e+00	3.528e-01	8.599e+00	4.391e-01	1.037e+01	6.448e-01	8.024e+00	7.381e-01	1.011e+01	4.755e-01	3.225e+00	1.843e-01	8.885e+00	3.328e-01	8.556e+00	3.347e-01	7.883e+00	6.651e-01	9.170e+00	4.232e-01	1.047e+01	8.552e-01	8.691e+00	4.732e-01	9.263e+00	2.547e-01	9.462e+00	2.619e-01	7.614e+00	2.980e-01	7.258e+00	6.894e-01	8.995e+00	4.308e-01	9.279e+00	4.061e-01	9.284e+00	3.144e-01	9.579e+00	5.362e-01	9.471e+00	3.608e-01	7.761e+00	3.261e-01	9.302e+00	3.872e-01	9.729e+00	3.658e-01	8.770e+00	3.167e-01	8.201e+00	5.253e-01	9.000e+00	2.250e-01	1.009e+01	4.328e-01	1.028e+01	4.802e-01
6	8.395e+00	7.079e-01	7.249e+00	3.566e-01	7.684e+00	6.519e-01	1.277e+00	1.282e-01	3.335e+00	1.120e-01	1.243e+00	1.283e-01	8.450e+00	4.138e-01	7.187e+00	4.318e-01	7.187e+00	3.326e-01	1.461e+00	1.791e-01	8.167e+00	3.032e-01	7.859e+00	5.173e-01	8.535e+00	3.003e-01	8.553e+00	2.833e-01	8.514e+00	3.876e-01	8.127e+00	4.755e-01	9.870e+00	6.202e-01	7.890e+00	3.578e-01	9.337e+00	4.467e-01	8.489e+00	2.157e-01	5.703e+00	2.933e-01	7.780e+00	3.563e-01	8.994e+00	4.459e-01	9.624e+00	6.077e-01	7.495e+00	7.128e-01	9.688e+00	4.622e-01	3.338e+00	1.859e-01	8.988e+00	3.312e-01	8.825e+00	3.365e-01	6.995e+00	6.242e-01	8.977e+00	4.200e-01	1.005e+01	8.284e-01	9.258e+00	5.002e-01	9.328e+00	2.516e-01	9.365e+00	2.648e-01	7.471e+00	2.919e-01	7.027e+00	6.933e-01	9.582e+00	4.500e-01	9.627e+00	4.114e-01	9.057e+00	3.107e-01	9.884e+00	5.442e-01	9.634e+00	3.709e-01	7.438e+00	3.092e-01	9.542e+00	3.933e-01	9.408e+00	3.573e-01	8.630e+00	3.214e-01	7.827e+00	5.240e-01	9.217e+00	2.303e-01	1.027e+01	4.419e-01	1.004e+01	4.696e-01
7	7.139e+00	6.497e-01	7.203e+00	3.569e-01	8.794e+00	7.126e-01	1.412e+00	1.356e-01	3.261e+00	1.114e-01	1.280e+00	1.305e-01	8.152e+00	3.972e-01	6.901e+00	4.140e-01	7.360e+00	3.446e-01	1.208e+00	1.631e-01	7.877e+00	2.995e-01	8.336e+00	5.289e-01	8.349e+00	2.915e-01	8.194e+00	2.749e-01	8.462e+00	3.840e-01	8.375e+00	4.795e-01	9.253e+00	5.917e-01	8.171e+00	3.641e-01	9.511e+00	4.445e-01	8.118e+00	2.111e-01	6.027e+00	3.046e-01	8.074e+00	3.668e-01	9.039e+00	4.495e-01	9.351e+00	5.966e-01	8.008e+00	7.590e-01	9.710e+00	4.711e-01	3.453e+00	1.936e-01	8.715e+00	3.226e-01	8.701e+00	3.319e-01	6.225e+00	5.906e-01	8.653e+00	4.150e-01	9.618e+00	7.936e-01	9.190e+00	4.893e-01	9.638e+00	2.571e-01	9.357e+00	2.680e-01	7.811e+00	2.948e-01	7.863e+00	7.050e-01	8.895e+00	4.276e-01	8.818e+00	3.994e-01	9.032e+00	3.034e-01	9.481e+00	5.457e-01	1.003e+01	3.876e-01	7.288e+00	3.151e-01	1.004e+01	4.074e-01	9.723e+00	3.769e-01	8.556e+00	3.185e-01	7.535e+00	5.145e-01	9.085e+00	2.282e-01	1.040e+01	4.486e-01	9.657e+00	4.635e-01
8	7.741e+00	6.962e-01	7.565e+00	3.655e-01	8.327e+00	7.019e-01	1.359e+00	1.341e-01	3.333e+00	1.147e-01	1.331e+00	1.364e-01	8.340e+00	4.109e-01	6.840e+00	4.165e-01	7.480e+00	3.438e-01	1.301e+00	1.766e-01	7.869e+00	2.955e-01	7.428e+00	4.893e-01	8.162e+00	2.792e-01	8.480e+00	2.794e-01	8.371e+00	3.770e-01	8.748e+00	4.959e-01	9.509e+00	6.028e-01	8.245e+00	3.640e-01	9.476e+00	4.575e-01	8.073e+00	2.092e-01	5.641e+00	2.920e-01	7.654e+00	3.630e-01	9.228e+00	4.521e-01	8.271e+00	5.551e-01	7.792e+00	7.808e-01	9.566e+00	4.517e-01	3.364e+00	1.911e-01	8.631e+00	3.308e-01	8.726e+00	3.232e-01	6.695e+00	6.126e-01	8.845e+00	4.127e-01	9.841e+00	7.725e-01	9.364e+00	5.042e-01	9.298e+00	2.525e-01	9.253e+00	2.667e-01	7.953e+00	2.985e-01	7.571e+00	7.328e-01	8.945e+00	4.203e-01	9.147e+00	4.084e-01	9.177e+00	3.059e-01	9.468e+00	5.392e-01	1.042e+01	3.979e-01	7.458e+00	3.079e-01	9.323e+00	3.866e-01	9.306e+00	3.665e-01	8.371e+00	3.150e-01	7.442e+00	4.967e-01	8.868e+00	2.271e-01	9.535e+00	4.296e-01	9.725e+00	4.568e-01
9	7.431e+00	7.171e-01	7.580e+00	3.672e-01	8.035e+00	6.762e-01	1.195e+00	1.233e-01	3.374e+00	1.138e-01	1.366e+00	1.368e-01	8.282e+00	4.057e-01	7.588e+00	4.336e-01	7.239e+00	3.447e-01	1.252e+00	1.587e-01	7.929e+00	2.977e-01	8.411e+00	5.148e-01	8.327e+00	2.685e-01	8.688e+00	2.833e-01	8.792e+00	3.963e-01	7.617e+00	4.545e-01	9.716e+00	6.010e-01	8.282e+00	3.565e-01	1.027e+01	4.837e-01	8.366e+00	2.117e-01	5.564e+00	2.833e-01	7.854e+00	3.574e-01	9.285e+00	4.397e-01	8.869e+00	6.139e-01	7.438e+00	7.087e-01	9.236e+00	4.340e-01	3.237e+00	1.874e-01	8.415e+00	3.222e-01	9.389e+00	3.369e-01	6.718e+00	6.558e-01	9.695e+00	4.317e-01	1.057e+01	8.713e-01	9.194e+00	4.933e-01	9.100e+00	2.467e-01	9.476e+00	2.757e-01	7.630e+00	2.863e-01	6.517e+00	6.327e-01	9.398e+00	4.239e-01	8.923e+00	4.061e-01	9.285e+00	3.128e-01	1.006e+01	5.565e-01	9.369e+00	3.826e-01	7.482e+00	2.930e-01	9.324e+00	3.939e-01	9.868e+00	3.818e-01	8.876e+00	3.244e-01	7.828e+00	5.377e-01	9.012e+00	2.326e-01	1.091e+01	4.620e-01	9.873e+00	4.737e-01
10	7.155e+00	6.723e-01	7.646e+00	3.714e-01	8.581e+00	7.185e-01	1.301e+00	1.313e-01	3.148e+00	1.107e-01	1.079e+00	1.225e-01	7.680e+00	3.891e-01	7.603e+00	4.337e-01	6.768e+00	3.361e-01	1.198e+00	1.576e-01	8.152e+00	3.092e-01	8.206e+00	5.160e-01	8.373e+00	2.682e-01	8.325e+00	2.799e-01	8.981e+00	4.051e-01	7.992e+00	4.717e-01	9.656e+00	6.077e-01	8.384e+00	3.512e-01	9.263e+00	4.559e-01	8.186e+00	2.118e-01	5.545e+00	2.860e-01	8.043e+00	3.712e-01	9.017e+00	4.281e-01	9.263e+00	6.163e-01	7.210e+00	7.088e-01	9.506e+00	4.434e-01	3.211e+00	1.896e-01	8.616e+00	3.308e-01	8.842e+00	3.210e-01	6.146e+00	6.344e-01	9.197e+00	4.263e-01	1.084e+01	8.776e-01	9.628e+00	5.039e-01	9.212e+00	2.491e-01	9.189e+00	2.697e-01	7.517e+00	2.872e-01	6.823e+00	6.466e-01	8.929e+00	4.139e-01	9.138e+00	4.154e-01	8.885e+00	3.221e-01	1.018e+01	5.610e-01	9.273e+00	3.882e-01	7.470e+00	3.052e-01	9.467e+00	4.017e-01	8.963e+00	3.652e-01	9.148e+00	3.309e-01	7.683e+00	5.078e-01	9.003e+00	2.291e-01	1.041e+01	4.584e-01	9.943e+00	4.753e-01
