# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: (12C15N/(12C14N+12C15N))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=0		POL=0		POL=0		POL=2		POL=1		POL=1		POL=0		POL=5		POL=0		POL=1		POL=0		POL=1		POL=4		POL=0		POL=1		POL=1		POL=2		POL=0		POL=0		POL=2		POL=1		POL=1		POL=0		POL=1		POL=0		POL=0		POL=0		POL=0		POL=5		POL=0		POL=0		POL=1		POL=4		POL=0		POL=0		POL=1		POL=0		POL=1		POL=0		POL=0		POL=0		POL=1		POL=5		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	2.398e+01	1.344e+00	2.228e+01	6.395e-01	2.749e+01	1.300e+00	2.607e+00	1.761e-01	1.017e+01	2.137e-01	2.192e+00	1.719e-01	2.560e+01	7.003e-01	1.810e+01	5.580e-01	2.295e+01	6.217e-01	3.231e+00	3.787e-01	2.629e+01	6.364e-01	2.352e+01	8.949e-01	2.387e+01	5.541e-01	2.779e+01	6.060e-01	2.510e+01	8.600e-01	2.644e+01	1.121e+00	2.884e+01	1.485e+00	2.734e+01	5.620e-01	3.109e+01	9.492e-01	2.529e+01	4.469e-01	1.485e+01	4.870e-01	2.248e+01	6.908e-01	2.863e+01	9.314e-01	2.878e+01	1.190e+00	2.227e+01	1.241e+00	3.234e+01	8.866e-01	7.865e+00	3.191e-01	2.813e+01	6.820e-01	2.759e+01	6.961e-01	1.544e+01	7.431e-01	2.864e+01	8.251e-01	2.804e+01	1.539e+00	2.988e+01	1.055e+00	2.961e+01	6.055e-01	2.957e+01	5.216e-01	2.232e+01	4.900e-01	3.070e+01	1.401e+00	2.720e+01	9.057e-01	2.978e+01	8.259e-01	3.246e+01	7.327e-01	2.912e+01	1.037e+00	2.826e+01	6.843e-01	2.911e+01	6.589e-01	3.185e+01	8.717e-01	3.247e+01	8.390e-01	2.875e+01	6.140e-01	2.792e+01	1.100e+00	3.057e+01	4.713e-01	3.120e+01	8.569e-01	3.290e+01	1.182e+00
2	2.429e+01	1.336e+00	2.232e+01	6.750e-01	2.755e+01	1.339e+00	2.317e+00	1.667e-01	1.025e+01	2.144e-01	2.255e+00	1.771e-01	2.543e+01	7.030e-01	1.825e+01	5.537e-01	2.294e+01	6.247e-01	3.602e+00	4.015e-01	2.742e+01	6.491e-01	2.318e+01	9.108e-01	2.355e+01	5.317e-01	2.804e+01	6.065e-01	2.477e+01	8.484e-01	2.539e+01	1.118e+00	2.720e+01	1.400e+00	2.709e+01	5.612e-01	2.994e+01	9.195e-01	2.541e+01	4.491e-01	1.432e+01	4.793e-01	2.197e+01	6.909e-01	2.855e+01	9.266e-01	2.886e+01	1.207e+00	2.269e+01	1.268e+00	3.156e+01	8.780e-01	8.121e+00	3.222e-01	2.859e+01	6.745e-01	2.769e+01	6.944e-01	1.532e+01	7.277e-01	2.818e+01	8.142e-01	3.007e+01	1.602e+00	3.046e+01	1.067e+00	2.932e+01	6.006e-01	2.953e+01	5.177e-01	2.227e+01	5.061e-01	3.052e+01	1.376e+00	2.669e+01	8.869e-01	2.997e+01	8.228e-01	3.209e+01	6.983e-01	2.805e+01	9.996e-01	2.776e+01	6.889e-01	2.967e+01	6.799e-01	3.134e+01	8.525e-01	3.248e+01	8.468e-01	2.807e+01	6.188e-01	2.843e+01	1.137e+00	3.113e+01	4.806e-01	3.202e+01	8.649e-01	3.322e+01	1.169e+00
3	2.281e+01	1.298e+00	2.331e+01	6.995e-01	2.633e+01	1.341e+00	2.550e+00	1.763e-01	9.949e+00	2.157e-01	2.246e+00	1.753e-01	2.643e+01	7.263e-01	1.772e+01	5.542e-01	2.215e+01	6.230e-01	3.360e+00	3.926e-01	2.685e+01	6.532e-01	2.282e+01	9.067e-01	2.356e+01	5.252e-01	2.807e+01	6.071e-01	2.530e+01	8.576e-01	2.535e+01	1.134e+00	2.933e+01	1.497e+00	2.643e+01	5.843e-01	3.083e+01	9.548e-01	2.590e+01	4.549e-01	1.495e+01	4.944e-01	2.211e+01	7.052e-01	2.876e+01	9.292e-01	2.852e+01	1.207e+00	2.158e+01	1.243e+00	3.073e+01	8.610e-01	7.723e+00	3.079e-01	2.773e+01	6.771e-01	2.810e+01	6.951e-01	1.488e+01	7.223e-01	2.855e+01	8.153e-01	3.029e+01	1.583e+00	2.942e+01	1.049e+00	2.954e+01	6.052e-01	2.960e+01	5.325e-01	2.241e+01	5.159e-01	3.134e+01	1.434e+00	2.711e+01	8.995e-01	2.990e+01	8.170e-01	3.280e+01	7.224e-01	2.849e+01	1.004e+00	2.781e+01	7.043e-01	2.881e+01	6.854e-01	3.073e+01	8.441e-01	3.303e+01	8.622e-01	2.924e+01	6.227e-01	2.861e+01	1.115e+00	3.161e+01	4.869e-01	3.123e+01	8.472e-01	3.262e+01	1.154e+00
4	2.357e+01	1.361e+00	2.311e+01	6.963e-01	2.531e+01	1.302e+00	2.414e+00	1.728e-01	1.030e+01	2.227e-01	2.318e+00	1.796e-01	2.629e+01	7.236e-01	1.865e+01	5.613e-01	2.251e+01	6.340e-01	3.235e+00	3.857e-01	2.756e+01	6.699e-01	2.305e+01	9.213e-01	2.365e+01	5.269e-01	2.857e+01	6.200e-01	2.408e+01	8.442e-01	2.577e+01	1.169e+00	2.911e+01	1.485e+00	2.751e+01	6.266e-01	3.127e+01	9.438e-01	2.535e+01	4.460e-01	1.500e+01	4.958e-01	2.239e+01	7.086e-01	2.801e+01	9.038e-01	2.835e+01	1.180e+00	2.348e+01	1.275e+00	3.077e+01	8.727e-01	8.027e+00	3.193e-01	2.879e+01	6.895e-01	2.823e+01	7.031e-01	1.359e+01	7.009e-01	2.896e+01	8.329e-01	2.868e+01	1.556e+00	2.953e+01	1.035e+00	2.938e+01	6.020e-01	2.948e+01	5.096e-01	2.213e+01	5.070e-01	3.116e+01	1.400e+00	2.643e+01	8.934e-01	2.962e+01	8.190e-01	3.295e+01	7.318e-01	2.894e+01	1.034e+00	2.717e+01	6.948e-01	2.900e+01	6.886e-01	3.113e+01	8.649e-01	3.153e+01	8.493e-01	2.836e+01	6.130e-01	2.794e+01	1.098e+00	3.089e+01	4.926e-01	3.184e+01	8.658e-01	3.216e+01	1.145e+00
5	2.301e+01	1.343e+00	2.329e+01	6.877e-01	2.729e+01	1.422e+00	2.341e+00	1.736e-01	1.049e+01	2.257e-01	2.054e+00	1.715e-01	2.557e+01	7.185e-01	1.792e+01	5.619e-01	2.238e+01	6.457e-01	3.763e+00	4.222e-01	2.693e+01	6.653e-01	2.247e+01	9.231e-01	2.425e+01	5.308e-01	2.805e+01	6.108e-01	2.611e+01	8.891e-01	2.541e+01	1.176e+00	2.728e+01	1.446e+00	2.570e+01	6.884e-01	3.015e+01	9.509e-01	2.576e+01	4.481e-01	1.493e+01	4.991e-01	2.266e+01	7.275e-01	2.858e+01	9.195e-01	2.802e+01	1.172e+00	2.249e+01	1.277e+00	3.216e+01	8.801e-01	7.242e+00	3.052e-01	2.819e+01	6.812e-01	2.764e+01	6.959e-01	1.535e+01	7.556e-01	2.845e+01	8.085e-01	2.965e+01	1.598e+00	2.900e+01	1.022e+00	2.996e+01	6.088e-01	3.015e+01	5.157e-01	2.172e+01	5.009e-01	3.190e+01	1.444e+00	2.716e+01	9.204e-01	3.047e+01	8.297e-01	3.291e+01	6.987e-01	2.810e+01	9.982e-01	2.786e+01	7.250e-01	2.930e+01	6.935e-01	3.086e+01	8.637e-01	3.232e+01	8.641e-01	2.852e+01	6.266e-01	2.862e+01	1.080e+00	3.092e+01	4.906e-01	3.159e+01	8.587e-01	3.246e+01	1.173e+00
6	2.307e+01	1.366e+00	2.219e+01	6.782e-01	2.683e+01	1.402e+00	2.260e+00	1.696e-01	1.042e+01	2.292e-01	2.204e+00	1.786e-01	2.642e+01	7.277e-01	1.876e+01	5.682e-01	2.254e+01	6.564e-01	3.712e+00	4.164e-01	2.709e+01	6.710e-01	2.404e+01	9.842e-01	2.343e+01	5.117e-01	2.818e+01	6.139e-01	2.526e+01	8.636e-01	2.395e+01	1.161e+00	2.783e+01	1.507e+00	2.508e+01	7.246e-01	3.124e+01	9.666e-01	2.641e+01	4.567e-01	1.532e+01	5.001e-01	2.241e+01	7.240e-01	2.881e+01	9.116e-01	2.840e+01	1.209e+00	2.210e+01	1.280e+00	3.188e+01	8.754e-01	7.851e+00	3.224e-01	2.904e+01	6.952e-01	2.743e+01	6.890e-01	1.430e+01	7.232e-01	2.892e+01	8.165e-01	2.896e+01	1.562e+00	2.927e+01	1.052e+00	2.999e+01	5.981e-01	2.926e+01	5.123e-01	2.246e+01	5.081e-01	3.052e+01	1.402e+00	2.632e+01	9.135e-01	2.959e+01	8.226e-01	3.278e+01	7.070e-01	2.879e+01	1.021e+00	2.754e+01	7.368e-01	2.934e+01	6.828e-01	3.141e+01	8.751e-01	3.255e+01	8.722e-01	2.833e+01	6.427e-01	2.826e+01	1.110e+00	3.096e+01	4.948e-01	3.106e+01	8.774e-01	3.193e+01	1.168e+00
7	2.110e+01	1.313e+00	2.230e+01	6.824e-01	2.637e+01	1.395e+00	2.324e+00	1.773e-01	1.055e+01	2.328e-01	2.398e+00	1.867e-01	2.602e+01	7.275e-01	1.828e+01	5.654e-01	2.278e+01	6.739e-01	3.718e+00	4.292e-01	2.621e+01	6.595e-01	2.333e+01	9.773e-01	2.441e+01	5.218e-01	2.820e+01	6.164e-01	2.549e+01	8.611e-01	2.441e+01	1.179e+00	2.725e+01	1.463e+00	2.630e+01	7.460e-01	3.007e+01	9.502e-01	2.617e+01	4.581e-01	1.533e+01	5.035e-01	2.220e+01	7.355e-01	2.816e+01	9.013e-01	2.872e+01	1.202e+00	2.183e+01	1.274e+00	3.096e+01	8.786e-01	8.037e+00	3.294e-01	2.811e+01	6.777e-01	2.803e+01	6.958e-01	1.445e+01	7.340e-01	2.817e+01	8.079e-01	2.812e+01	1.532e+00	2.935e+01	1.054e+00	3.009e+01	5.989e-01	2.965e+01	5.212e-01	2.272e+01	5.121e-01	3.190e+01	1.416e+00	2.706e+01	9.399e-01	3.001e+01	8.403e-01	3.244e+01	6.873e-01	2.903e+01	1.043e+00	2.871e+01	7.688e-01	2.919e+01	7.048e-01	3.054e+01	8.815e-01	3.238e+01	8.963e-01	2.812e+01	6.415e-01	2.796e+01	1.127e+00	3.109e+01	4.994e-01	3.147e+01	8.873e-01	3.222e+01	1.199e+00
8	2.443e+01	1.448e+00	2.232e+01	6.873e-01	2.654e+01	1.424e+00	2.377e+00	1.815e-01	1.081e+01	2.384e-01	2.213e+00	1.820e-01	2.617e+01	7.341e-01	1.759e+01	5.500e-01	2.258e+01	6.588e-01	4.256e+00	4.536e-01	2.685e+01	6.678e-01	2.370e+01	9.736e-01	2.414e+01	5.060e-01	2.844e+01	6.234e-01	2.542e+01	8.651e-01	2.345e+01	1.195e+00	2.813e+01	1.513e+00	2.558e+01	7.293e-01	3.126e+01	9.912e-01	2.583e+01	4.534e-01	1.511e+01	4.997e-01	2.179e+01	7.304e-01	2.800e+01	8.996e-01	2.907e+01	1.226e+00	2.229e+01	1.348e+00	3.175e+01	8.653e-01	7.835e+00	3.252e-01	2.893e+01	7.110e-01	2.768e+01	6.778e-01	1.501e+01	7.587e-01	2.888e+01	8.216e-01	2.931e+01	1.534e+00	2.966e+01	1.054e+00	3.044e+01	6.013e-01	2.955e+01	5.278e-01	2.258e+01	5.196e-01	3.024e+01	1.463e+00	2.716e+01	9.451e-01	2.915e+01	8.202e-01	3.279e+01	6.957e-01	2.953e+01	1.040e+00	2.768e+01	7.695e-01	2.934e+01	6.921e-01	3.154e+01	8.941e-01	3.240e+01	9.023e-01	2.809e+01	6.409e-01	2.891e+01	1.130e+00	3.089e+01	5.069e-01	3.110e+01	8.962e-01	3.172e+01	1.193e+00
9	2.317e+01	1.449e+00	2.304e+01	7.129e-01	2.642e+01	1.400e+00	2.551e+00	1.839e-01	1.048e+01	2.371e-01	2.367e+00	1.865e-01	2.581e+01	7.370e-01	1.825e+01	5.643e-01	2.277e+01	6.753e-01	4.243e+00	4.559e-01	2.681e+01	6.717e-01	2.468e+01	9.893e-01	2.512e+01	5.029e-01	2.807e+01	6.156e-01	2.400e+01	8.232e-01	2.336e+01	1.183e+00	2.647e+01	1.417e+00	2.680e+01	7.309e-01	3.136e+01	9.922e-01	2.628e+01	4.560e-01	1.518e+01	4.935e-01	2.215e+01	7.371e-01	2.865e+01	8.778e-01	2.754e+01	1.183e+00	2.372e+01	1.355e+00	3.136e+01	8.532e-01	7.888e+00	3.259e-01	2.882e+01	7.123e-01	2.801e+01	6.728e-01	1.259e+01	6.904e-01	3.013e+01	8.329e-01	2.974e+01	1.538e+00	2.898e+01	1.031e+00	3.014e+01	5.981e-01	2.908e+01	5.197e-01	2.308e+01	5.196e-01	3.089e+01	1.463e+00	2.766e+01	9.621e-01	3.090e+01	8.446e-01	3.258e+01	7.036e-01	2.939e+01	1.024e+00	2.743e+01	7.675e-01	3.058e+01	6.793e-01	3.101e+01	8.930e-01	3.265e+01	9.025e-01	2.858e+01	6.487e-01	2.816e+01	1.141e+00	3.131e+01	5.241e-01	3.208e+01	9.021e-01	3.181e+01	1.196e+00
10	2.355e+01	1.449e+00	2.295e+01	7.063e-01	2.731e+01	1.418e+00	2.379e+00	1.828e-01	1.055e+01	2.393e-01	2.547e+00	1.990e-01	2.653e+01	7.508e-01	1.804e+01	5.632e-01	2.284e+01	6.790e-01	3.874e+00	4.503e-01	2.735e+01	6.908e-01	2.519e+01	1.043e+00	2.483e+01	5.052e-01	2.809e+01	6.269e-01	2.465e+01	8.700e-01	2.467e+01	1.244e+00	2.786e+01	1.511e+00	2.622e+01	7.121e-01	3.120e+01	9.675e-01	2.658e+01	4.659e-01	1.506e+01	4.932e-01	2.176e+01	7.475e-01	2.957e+01	8.835e-01	2.764e+01	1.175e+00	2.425e+01	1.381e+00	3.339e+01	8.770e-01	8.089e+00	3.325e-01	2.846e+01	7.082e-01	2.812e+01	6.775e-01	1.361e+01	7.238e-01	2.865e+01	8.165e-01	2.995e+01	1.500e+00	3.006e+01	1.056e+00	3.014e+01	5.960e-01	2.944e+01	5.260e-01	2.297e+01	5.182e-01	3.253e+01	1.465e+00	2.671e+01	9.517e-01	3.010e+01	8.447e-01	3.175e+01	7.225e-01	2.910e+01	1.043e+00	2.752e+01	7.821e-01	3.046e+01	6.996e-01	3.119e+01	9.015e-01	3.203e+01	8.990e-01	2.771e+01	6.286e-01	2.910e+01	1.125e+00	3.076e+01	5.118e-01	3.135e+01	9.097e-01	3.288e+01	1.255e+00
