# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: (18O/(16O+18O))*100
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=1		POL=3		POL=0		POL=0		POL=0		POL=0		POL=4		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=2		POL=0		POL=0		POL=1		POL=0		POL=0		POL=0		POL=0		POL=0		POL=2		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0		POL=0	
1	1.860e+00	1.322e+00	5.834e-01	3.695e-01	1.399e+00	1.404e+00	3.441e-01	7.426e-02	4.699e-01	1.079e-01	2.725e-01	1.574e-01	1.432e+00	6.129e-01	4.017e-01	6.241e-02	5.874e-01	2.308e-01	6.736e-01	2.034e-01	1.077e+00	3.415e-01	3.146e-01	1.343e-01	3.902e-01	8.328e-02	1.020e+00	3.233e-01	1.718e-01	2.431e-01	9.259e-01	7.578e-01	1.087e+00	1.090e+00	9.290e-01	2.489e-01	7.968e-01	3.992e-01	5.116e-01	8.203e-02	5.828e-01	3.691e-01	1.528e+00	6.015e-01	1.649e+00	7.062e-01	2.765e+00	1.608e+00	6.144e-01	3.077e-01	1.299e+00	6.142e-01	4.785e-01	2.395e-01	8.922e-01	3.508e-01	1.339e+00	4.479e-01	3.762e-01	9.888e-02	7.656e-01	3.835e-01	4.000e+00	2.556e+00	1.081e+00	6.259e-01	1.120e+00	2.068e-01	8.304e-01	2.402e-01	6.016e-01	8.315e-02	4.075e-01	2.580e-01	2.455e+00	1.054e+00	1.698e+00	7.269e-01	8.002e-01	2.143e-01	8.696e-01	7.116e-01	1.768e+00	6.279e-01	7.235e-01	1.422e-01	1.530e+00	7.678e-01	2.035e+00	5.035e-01	1.073e+00	4.219e-01	9.777e-01	5.239e-01	1.378e+00	2.637e-01	3.252e+00	1.037e+00	4.808e-01	3.930e-01
2	1.835e+00	1.303e+00	1.689e+00	6.410e-01	1.765e+00	1.447e+00	2.955e-01	6.875e-02	4.872e-01	1.134e-01	3.356e-01	1.795e-01	2.038e+00	7.244e-01	3.693e-01	6.077e-02	3.502e-01	1.873e-01	3.676e-01	1.502e-01	1.096e+00	3.664e-01	5.889e-01	1.865e-01	3.245e-01	7.655e-02	1.037e+00	3.374e-01	1.026e+00	5.937e-01	1.312e+00	8.327e-01	1.724e+00	1.414e+00	7.317e-01	2.262e-01	1.143e+00	4.890e-01	4.877e-01	8.138e-02	8.872e-01	4.753e-01	2.265e+00	7.390e-01	2.034e+00	8.021e-01	2.139e+00	1.521e+00	1.067e+00	4.198e-01	1.878e+00	7.703e-01	3.683e-01	2.128e-01	1.688e+00	4.893e-01	1.293e+00	4.324e-01	3.341e-01	9.459e-02	8.333e-01	4.175e-01	2.830e+00	2.328e+00	1.079e+00	6.247e-01	7.743e-01	1.757e-01	1.208e+00	2.984e-01	5.195e-01	7.754e-02	6.082e-01	3.256e-01	1.751e+00	8.792e-01	3.552e-01	3.556e-01	1.131e+00	2.638e-01	2.312e+00	1.163e+00	3.023e+00	8.617e-01	4.352e-01	1.107e-01	1.104e+00	7.000e-01	1.422e+00	4.404e-01	9.306e-01	3.978e-01	6.859e-01	4.345e-01	1.336e+00	2.708e-01	1.384e+00	6.945e-01	3.711e-01	3.714e-01
3	4.505e-01	6.378e-01	9.547e-01	4.785e-01	1.639e+00	1.646e+00	3.636e-01	7.849e-02	6.018e-01	1.285e-01	2.816e-01	1.627e-01	1.844e+00	7.267e-01	3.994e-01	6.443e-02	5.558e-01	2.373e-01	4.336e-01	1.641e-01	8.110e-01	3.187e-01	8.042e-01	2.235e-01	4.225e-01	8.726e-02	1.481e+00	4.046e-01	1.538e+00	7.722e-01	1.471e+00	9.335e-01	2.395e+00	1.704e+00	1.193e+00	3.040e-01	4.381e-01	3.101e-01	6.808e-01	9.894e-02	1.080e+00	5.107e-01	1.018e+00	5.102e-01	1.503e+00	7.110e-01	1.596e+00	1.308e+00	4.549e-01	2.629e-01	7.752e-01	4.912e-01	3.610e-01	2.086e-01	1.643e+00	4.975e-01	1.130e+00	4.136e-01	3.177e-01	9.179e-02	8.649e-01	4.334e-01	1.724e+00	1.732e+00	1.996e+00	8.556e-01	1.011e+00	2.026e-01	9.047e-01	2.515e-01	5.708e-01	8.337e-02	5.150e-01	2.977e-01	1.402e+00	8.122e-01	1.926e+00	8.255e-01	1.246e+00	2.727e-01	2.492e+00	1.254e+00	2.197e+00	7.166e-01	5.884e-01	1.286e-01	1.530e+00	7.678e-01	1.141e+00	4.046e-01	1.630e+00	5.309e-01	1.250e-01	1.768e-01	1.368e+00	2.831e-01	1.038e+00	6.009e-01	1.701e+00	7.638e-01
4	1.980e+00	1.407e+00	1.186e+00	5.321e-01	3.356e+00	2.141e+00	3.141e-01	7.308e-02	5.631e-01	1.245e-01	5.350e-01	2.284e-01	1.975e+00	7.501e-01	3.995e-01	6.531e-02	7.792e-01	2.851e-01	2.503e-01	1.252e-01	8.542e-01	3.235e-01	3.514e-01	1.500e-01	4.608e-01	9.136e-02	1.264e+00	3.738e-01	5.906e-01	4.829e-01	1.928e+00	1.036e+00	4.950e-01	7.010e-01	1.060e+00	3.068e-01	6.652e-01	3.847e-01	5.773e-01	9.141e-02	7.059e-01	4.083e-01	1.350e+00	5.775e-01	9.404e-01	5.442e-01	1.435e+00	1.176e+00	7.212e-01	3.406e-01	1.166e+00	5.848e-01	1.842e-01	1.504e-01	1.023e+00	3.875e-01	1.929e+00	5.483e-01	2.832e-01	8.745e-02	1.126e+00	5.051e-01	7.407e-01	1.050e+00	2.099e+00	8.999e-01	1.046e+00	2.076e-01	6.985e-01	2.270e-01	6.051e-01	8.747e-02	1.005e+00	4.298e-01	1.566e+00	8.404e-01	2.361e+00	8.977e-01	1.112e+00	2.665e-01	1.857e+00	9.972e-01	2.864e+00	8.508e-01	4.571e-01	1.144e-01	1.538e+00	7.722e-01	1.324e+00	4.310e-01	1.304e+00	4.779e-01	6.203e-01	3.930e-01	1.504e+00	2.933e-01	1.838e+00	8.259e-01	1.721e+00	7.731e-01
5	1.835e+00	1.303e+00	8.434e-01	4.518e-01	1.562e+00	1.569e+00	3.378e-01	7.655e-02	5.032e-01	1.188e-01	2.332e-01	1.476e-01	2.699e+00	8.388e-01	4.093e-01	6.646e-02	6.550e-01	2.679e-01	3.534e-01	1.508e-01	1.051e+00	3.512e-01	5.437e-01	1.867e-01	4.669e-01	9.167e-02	1.428e+00	3.974e-01	7.380e-01	5.228e-01	1.567e+00	9.081e-01	2.532e+00	1.802e+00	1.029e+00	3.263e-01	5.459e-01	3.457e-01	5.272e-01	8.923e-02	1.018e+00	5.102e-01	1.449e+00	5.938e-01	1.196e+00	5.997e-01	1.087e+00	1.090e+00	7.640e-01	3.608e-01	1.266e+00	6.349e-01	3.552e-01	2.053e-01	1.353e+00	4.406e-01	1.081e+00	4.097e-01	3.695e-01	1.026e-01	1.201e+00	5.136e-01	2.752e+00	2.263e+00	2.162e+00	8.876e-01	9.232e-01	2.044e-01	9.702e-01	2.647e-01	6.556e-01	9.020e-02	4.912e-01	3.110e-01	9.132e-01	6.472e-01	2.102e+00	8.626e-01	1.116e+00	2.675e-01	2.755e+00	1.241e+00	2.408e+00	7.478e-01	6.710e-01	1.402e-01	2.467e+00	9.737e-01	1.586e+00	4.802e-01	9.848e-01	4.210e-01	1.160e+00	5.203e-01	1.596e+00	3.055e-01	2.154e+00	8.844e-01	1.384e+00	6.945e-01
6	2.281e+00	1.325e+00	1.236e+00	5.287e-01	1.282e+00	1.286e+00	2.939e-01	7.240e-02	4.835e-01	1.174e-01	3.935e-01	1.969e-01	2.062e+00	7.328e-01	4.125e-01	6.743e-02	1.113e+00	3.446e-01	3.790e-01	1.549e-01	1.011e+00	3.583e-01	4.004e-01	1.636e-01	3.985e-01	8.411e-02	1.430e+00	3.906e-01	1.250e+00	6.703e-01	1.856e+00	9.325e-01	1.070e+00	1.072e+00	7.441e-01	2.924e-01	8.187e-01	4.385e-01	5.715e-01	9.473e-02	5.102e-01	3.612e-01	1.280e+00	5.745e-01	1.721e+00	7.731e-01	3.433e+00	1.732e+00	9.378e-01	4.008e-01	1.849e+00	7.920e-01	2.426e-01	1.716e-01	1.529e+00	4.627e-01	1.420e+00	4.624e-01	4.684e-01	1.155e-01	1.471e+00	5.579e-01	2.256e+00	1.852e+00	1.441e+00	7.234e-01	1.232e+00	2.294e-01	8.846e-01	2.508e-01	5.481e-01	8.420e-02	8.403e-01	3.970e-01	1.168e+00	7.410e-01	2.405e+00	9.148e-01	9.648e-01	2.457e-01	9.375e-01	7.673e-01	2.292e+00	7.479e-01	6.605e-01	1.380e-01	1.357e+00	7.276e-01	1.784e+00	5.286e-01	9.769e-01	4.176e-01	1.768e+00	6.279e-01	1.122e+00	2.517e-01	1.536e+00	7.707e-01	1.307e+00	6.558e-01
7	1.838e+00	1.168e+00	8.454e-01	4.529e-01	1.709e+00	1.717e+00	4.115e-01	8.589e-02	4.822e-01	1.171e-01	2.800e-01	1.618e-01	2.247e+00	7.534e-01	3.749e-01	6.533e-02	5.048e-01	2.383e-01	2.260e-01	1.208e-01	1.056e+00	3.744e-01	4.616e-01	1.747e-01	4.444e-01	8.898e-02	1.512e+00	4.056e-01	1.060e+00	6.137e-01	1.272e+00	8.072e-01	2.162e+00	1.537e+00	1.101e+00	3.490e-01	1.296e+00	5.308e-01	6.792e-01	1.026e-01	7.595e-01	4.393e-01	1.804e+00	6.850e-01	9.585e-01	5.547e-01	1.376e+00	1.128e+00	7.162e-01	3.587e-01	2.013e+00	8.262e-01	2.812e-01	1.780e-01	9.979e-01	3.781e-01	1.915e+00	5.336e-01	3.916e-01	1.067e-01	1.119e+00	5.017e-01	1.515e+00	1.521e+00	9.434e-01	5.981e-01	9.558e-01	2.066e-01	8.596e-01	2.487e-01	5.362e-01	8.385e-02	8.612e-01	4.069e-01	1.754e+00	8.811e-01	1.222e+00	6.550e-01	9.107e-01	2.318e-01	1.340e+00	8.507e-01	2.005e+00	7.125e-01	4.974e-01	1.208e-01	1.741e+00	8.243e-01	2.376e+00	5.975e-01	4.883e-01	3.092e-01	1.192e+00	5.097e-01	1.579e+00	2.996e-01	1.097e+00	6.350e-01	1.749e+00	7.490e-01
8	3.546e-01	5.019e-01	2.313e+00	7.180e-01	3.053e+00	2.176e+00	3.749e-01	8.189e-02	6.459e-01	1.379e-01	3.848e-01	1.926e-01	2.830e+00	8.229e-01	4.170e-01	7.006e-02	4.299e-01	2.152e-01	4.776e-01	1.691e-01	8.701e-01	3.296e-01	7.111e-01	2.148e-01	5.039e-01	9.368e-02	1.642e+00	4.330e-01	1.284e+00	6.441e-01	1.382e+00	8.010e-01	1.714e+00	1.406e+00	7.812e-01	2.959e-01	4.251e-01	3.009e-01	6.412e-01	1.015e-01	7.238e-01	4.186e-01	1.845e+00	7.004e-01	9.662e-01	5.592e-01	3.004e+00	1.618e+00	8.467e-01	3.795e-01	1.503e+00	7.110e-01	3.331e-01	1.925e-01	1.477e+00	4.688e-01	2.148e+00	5.672e-01	4.388e-01	1.154e-01	8.772e-01	4.396e-01	2.041e+00	1.675e+00	1.139e+00	6.592e-01	9.477e-01	2.073e-01	1.067e+00	2.762e-01	6.492e-01	9.243e-02	9.356e-01	4.421e-01	1.590e+00	7.984e-01	2.431e+00	9.244e-01	1.054e+00	2.526e-01	2.266e+00	1.140e+00	1.736e+00	6.367e-01	6.110e-01	1.352e-01	1.008e+00	6.392e-01	1.464e+00	4.767e-01	1.499e+00	5.493e-01	1.000e+00	4.726e-01	1.241e+00	2.654e-01	1.880e+00	8.056e-01	1.075e+00	5.763e-01
9	1.361e+00	9.654e-01	9.615e-01	4.819e-01	1.527e+00	1.533e+00	3.021e-01	7.941e-02	6.559e-01	1.385e-01	4.649e-01	2.082e-01	1.325e+00	5.670e-01	3.860e-01	6.778e-02	8.112e-01	3.466e-01	3.663e-01	1.438e-01	1.538e+00	4.766e-01	4.667e-01	1.992e-01	6.328e-01	1.129e-01	1.366e+00	4.134e-01	1.252e+00	6.715e-01	9.412e-01	6.671e-01	4.505e-01	6.378e-01	4.422e-01	2.366e-01	6.780e-01	4.802e-01	6.220e-01	1.053e-01	6.435e-01	4.076e-01	1.250e+00	5.347e-01	1.587e+00	7.513e-01	4.790e+00	2.425e+00	1.556e+00	5.704e-01	1.223e+00	6.135e-01	5.621e-01	2.654e-01	1.518e+00	5.078e-01	1.009e+00	4.131e-01	2.454e-01	8.186e-02	1.611e+00	6.344e-01	2.308e+00	1.895e+00	2.326e+00	1.046e+00	1.344e+00	2.725e-01	1.038e+00	2.944e-01	6.678e-01	9.556e-02	6.881e-01	3.979e-01	1.860e+00	8.807e-01	3.759e+00	1.200e+00	1.133e+00	2.841e-01	1.790e+00	9.613e-01	1.256e+00	5.371e-01	9.630e-01	1.808e-01	1.455e+00	7.808e-01	1.468e+00	4.782e-01	2.151e+00	7.208e-01	1.117e+00	5.602e-01	1.449e+00	2.909e-01	1.961e+00	8.403e-01	1.444e+00	7.247e-01
10	1.049e+00	8.587e-01	1.399e+00	6.277e-01	2.158e+00	1.772e+00	3.668e-01	8.775e-02	3.990e-01	1.087e-01	3.343e-01	1.788e-01	2.071e+00	6.941e-01	4.597e-01	7.515e-02	9.003e-01	3.539e-01	4.296e-01	1.625e-01	1.276e+00	4.526e-01	2.128e-01	1.346e-01	5.865e-01	1.072e-01	2.202e+00	5.219e-01	8.518e-01	5.399e-01	2.163e+00	1.025e+00	4.808e-01	6.807e-01	1.136e+00	3.799e-01	1.252e+00	6.280e-01	5.839e-01	1.026e-01	6.711e-01	4.252e-01	1.172e+00	5.258e-01	1.667e+00	7.485e-01	3.500e+00	1.888e+00	1.226e+00	5.020e-01	1.270e+00	6.370e-01	7.912e-01	3.110e-01	2.126e+00	5.818e-01	1.977e+00	5.990e-01	2.946e-01	9.323e-02	2.479e+00	7.700e-01	2.985e+00	2.127e+00	1.595e+00	8.558e-01	9.064e-01	2.203e-01	1.666e+00	3.651e-01	6.078e-01	9.125e-02	5.688e-01	3.603e-01	1.968e+00	8.433e-01	1.626e+00	8.164e-01	1.333e+00	3.152e-01	2.089e+00	1.050e+00	1.281e+00	5.478e-01	5.929e-01	1.419e-01	2.217e+00	9.972e-01	9.331e-01	3.818e-01	1.384e+00	5.921e-01	8.505e-01	4.556e-01	1.316e+00	2.783e-01	2.353e+00	9.664e-01	1.404e+00	7.042e-01
