# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: 12C13C
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=3		POL=2		POL=3		POL=0		POL=5		POL=4		POL=1		POL=0		POL=3		POL=0		POL=2		POL=0		POL=4		POL=0		POL=1		POL=1		POL=0		POL=4		POL=4		POL=4		POL=0		POL=1		POL=3		POL=0		POL=0		POL=5		POL=2		POL=3		POL=4		POL=5		POL=3		POL=0		POL=1		POL=2		POL=1		POL=2		POL=1		POL=0		POL=5		POL=0		POL=0		POL=2		POL=1		POL=2		POL=2		POL=4		POL=3		POL=2		POL=1		POL=0	
1	2.750e+02	1.658e+01	1.002e+03	3.165e+01	3.400e+02	1.844e+01	2.330e+02	1.526e+01	1.894e+03	4.352e+01	1.850e+02	1.360e+01	9.390e+02	3.064e+01	6.300e+02	2.510e+01	1.168e+03	3.418e+01	1.320e+02	1.149e+01	1.664e+03	4.079e+01	5.690e+02	2.385e+01	1.494e+03	3.865e+01	1.795e+03	4.237e+01	1.016e+03	3.187e+01	7.450e+02	2.729e+01	5.280e+02	2.298e+01	2.143e+03	4.629e+01	9.850e+02	3.138e+01	3.377e+03	5.811e+01	8.460e+02	2.909e+01	1.242e+03	3.524e+01	8.190e+02	2.862e+01	5.160e+02	2.272e+01	2.410e+02	1.552e+01	9.670e+02	3.110e+01	6.980e+02	2.642e+01	1.523e+03	3.903e+01	1.423e+03	3.772e+01	2.800e+02	1.673e+01	1.051e+03	3.242e+01	3.160e+02	1.778e+01	7.450e+02	2.729e+01	2.756e+03	5.250e+01	2.506e+03	5.006e+01	1.512e+03	3.888e+01	2.310e+02	1.520e+01	9.930e+02	3.151e+01	1.132e+03	3.365e+01	1.556e+03	3.945e+01	6.600e+02	2.569e+01	1.656e+03	4.069e+01	1.280e+03	3.578e+01	1.316e+03	3.628e+01	1.573e+03	3.966e+01	1.816e+03	4.261e+01	4.790e+02	2.189e+01	3.766e+03	6.137e+01	1.163e+03	3.410e+01	1.010e+03	3.178e+01
2	3.060e+02	1.749e+01	9.500e+02	3.082e+01	3.370e+02	1.836e+01	2.230e+02	1.493e+01	1.963e+03	4.431e+01	2.090e+02	1.446e+01	9.480e+02	3.079e+01	6.470e+02	2.544e+01	1.136e+03	3.370e+01	1.070e+02	1.034e+01	1.664e+03	4.079e+01	5.680e+02	2.383e+01	1.574e+03	3.967e+01	1.857e+03	4.309e+01	1.058e+03	3.253e+01	7.290e+02	2.700e+01	5.890e+02	2.427e+01	2.107e+03	4.590e+01	9.590e+02	3.097e+01	3.237e+03	5.689e+01	8.680e+02	2.946e+01	1.205e+03	3.471e+01	7.890e+02	2.809e+01	4.390e+02	2.095e+01	2.880e+02	1.697e+01	9.580e+02	3.095e+01	7.300e+02	2.702e+01	1.555e+03	3.943e+01	1.467e+03	3.830e+01	3.020e+02	1.738e+01	9.630e+02	3.103e+01	3.180e+02	1.783e+01	7.630e+02	2.762e+01	2.864e+03	5.352e+01	2.583e+03	5.082e+01	1.494e+03	3.865e+01	2.680e+02	1.637e+01	8.910e+02	2.985e+01	1.217e+03	3.489e+01	1.767e+03	4.204e+01	6.880e+02	2.623e+01	1.713e+03	4.139e+01	1.225e+03	3.500e+01	1.287e+03	3.587e+01	1.566e+03	3.957e+01	1.727e+03	4.156e+01	4.620e+02	2.149e+01	3.778e+03	6.147e+01	1.274e+03	3.569e+01	9.860e+02	3.140e+01
3	2.930e+02	1.712e+01	9.210e+02	3.035e+01	3.600e+02	1.897e+01	1.880e+02	1.371e+01	1.952e+03	4.418e+01	2.190e+02	1.480e+01	9.160e+02	3.027e+01	6.420e+02	2.534e+01	1.110e+03	3.332e+01	1.040e+02	1.020e+01	1.652e+03	4.064e+01	5.670e+02	2.381e+01	1.695e+03	4.117e+01	1.962e+03	4.429e+01	1.075e+03	3.279e+01	6.840e+02	2.615e+01	5.700e+02	2.387e+01	1.851e+03	4.302e+01	1.040e+03	3.225e+01	3.385e+03	5.818e+01	8.010e+02	2.830e+01	1.104e+03	3.323e+01	8.440e+02	2.905e+01	5.410e+02	2.326e+01	2.570e+02	1.603e+01	9.980e+02	3.159e+01	7.540e+02	2.746e+01	1.598e+03	3.997e+01	1.465e+03	3.828e+01	3.200e+02	1.789e+01	1.015e+03	3.186e+01	3.570e+02	1.889e+01	7.520e+02	2.742e+01	2.826e+03	5.316e+01	2.507e+03	5.007e+01	1.373e+03	3.705e+01	2.240e+02	1.497e+01	1.035e+03	3.217e+01	1.181e+03	3.437e+01	1.688e+03	4.109e+01	7.590e+02	2.755e+01	1.656e+03	4.069e+01	1.228e+03	3.504e+01	1.346e+03	3.669e+01	1.539e+03	3.923e+01	1.698e+03	4.121e+01	4.380e+02	2.093e+01	3.583e+03	5.986e+01	1.182e+03	3.438e+01	9.980e+02	3.159e+01
4	3.000e+02	1.732e+01	8.400e+02	2.898e+01	3.470e+02	1.863e+01	2.010e+02	1.418e+01	1.902e+03	4.361e+01	2.050e+02	1.432e+01	8.580e+02	2.929e+01	6.410e+02	2.532e+01	1.033e+03	3.214e+01	1.170e+02	1.082e+01	1.645e+03	4.056e+01	5.500e+02	2.345e+01	1.688e+03	4.109e+01	1.939e+03	4.403e+01	1.054e+03	3.247e+01	6.720e+02	2.592e+01	5.300e+02	2.302e+01	1.704e+03	4.128e+01	9.900e+02	3.146e+01	3.360e+03	5.797e+01	7.780e+02	2.789e+01	1.131e+03	3.363e+01	8.940e+02	2.990e+01	5.290e+02	2.300e+01	2.510e+02	1.584e+01	9.070e+02	3.012e+01	6.910e+02	2.629e+01	1.537e+03	3.920e+01	1.461e+03	3.822e+01	2.870e+02	1.694e+01	1.019e+03	3.192e+01	3.330e+02	1.825e+01	7.970e+02	2.823e+01	2.891e+03	5.377e+01	2.818e+03	5.308e+01	1.417e+03	3.764e+01	2.110e+02	1.453e+01	9.490e+02	3.081e+01	1.151e+03	3.393e+01	1.595e+03	3.994e+01	6.680e+02	2.585e+01	1.605e+03	4.006e+01	1.203e+03	3.468e+01	1.293e+03	3.596e+01	1.472e+03	3.837e+01	1.687e+03	4.107e+01	4.960e+02	2.227e+01	3.634e+03	6.028e+01	1.221e+03	3.494e+01	9.520e+02	3.085e+01
5	2.660e+02	1.631e+01	9.480e+02	3.079e+01	3.220e+02	1.794e+01	2.160e+02	1.470e+01	1.836e+03	4.285e+01	1.890e+02	1.375e+01	8.290e+02	2.879e+01	6.490e+02	2.548e+01	1.036e+03	3.219e+01	1.130e+02	1.063e+01	1.480e+03	3.847e+01	5.520e+02	2.349e+01	1.689e+03	4.110e+01	1.924e+03	4.386e+01	1.042e+03	3.228e+01	6.200e+02	2.490e+01	5.710e+02	2.390e+01	1.194e+03	3.455e+01	1.002e+03	3.165e+01	3.424e+03	5.851e+01	8.180e+02	2.860e+01	1.030e+03	3.209e+01	8.390e+02	2.897e+01	5.770e+02	2.402e+01	2.570e+02	1.603e+01	1.005e+03	3.170e+01	6.330e+02	2.516e+01	1.565e+03	3.956e+01	1.429e+03	3.780e+01	3.050e+02	1.746e+01	1.034e+03	3.216e+01	3.350e+02	1.830e+01	7.390e+02	2.718e+01	2.916e+03	5.400e+01	2.883e+03	5.369e+01	1.413e+03	3.759e+01	2.390e+02	1.546e+01	9.580e+02	3.095e+01	1.151e+03	3.393e+01	1.922e+03	4.384e+01	7.060e+02	2.657e+01	1.522e+03	3.901e+01	1.228e+03	3.504e+01	1.273e+03	3.568e+01	1.567e+03	3.959e+01	1.681e+03	4.100e+01	5.310e+02	2.304e+01	3.518e+03	5.931e+01	1.209e+03	3.477e+01	1.021e+03	3.195e+01
6	3.070e+02	1.752e+01	8.910e+02	2.985e+01	3.010e+02	1.735e+01	2.010e+02	1.418e+01	1.835e+03	4.284e+01	1.900e+02	1.378e+01	9.110e+02	3.018e+01	5.970e+02	2.443e+01	1.006e+03	3.172e+01	1.350e+02	1.162e+01	1.580e+03	3.975e+01	5.010e+02	2.238e+01	1.766e+03	4.202e+01	1.993e+03	4.464e+01	1.055e+03	3.248e+01	6.360e+02	2.522e+01	5.620e+02	2.371e+01	1.056e+03	3.250e+01	9.640e+02	3.105e+01	3.385e+03	5.818e+01	8.020e+02	2.832e+01	1.034e+03	3.216e+01	8.940e+02	2.990e+01	5.550e+02	2.356e+01	2.390e+02	1.546e+01	9.730e+02	3.119e+01	6.670e+02	2.583e+01	1.618e+03	4.022e+01	1.509e+03	3.885e+01	2.700e+02	1.643e+01	1.004e+03	3.169e+01	3.270e+02	1.808e+01	7.550e+02	2.748e+01	3.033e+03	5.507e+01	2.761e+03	5.255e+01	1.416e+03	3.763e+01	2.210e+02	1.487e+01	1.003e+03	3.167e+01	1.212e+03	3.481e+01	1.869e+03	4.323e+01	7.320e+02	2.706e+01	1.493e+03	3.864e+01	1.250e+03	3.536e+01	1.301e+03	3.607e+01	1.531e+03	3.913e+01	1.578e+03	3.972e+01	4.840e+02	2.200e+01	3.529e+03	5.941e+01	1.204e+03	3.470e+01	1.016e+03	3.187e+01
7	2.600e+02	1.612e+01	8.780e+02	2.963e+01	3.340e+02	1.828e+01	2.200e+02	1.483e+01	1.770e+03	4.207e+01	1.950e+02	1.396e+01	9.170e+02	3.028e+01	5.970e+02	2.443e+01	9.850e+02	3.138e+01	1.110e+02	1.054e+01	1.502e+03	3.876e+01	5.420e+02	2.328e+01	1.790e+03	4.231e+01	1.936e+03	4.400e+01	1.061e+03	3.257e+01	6.660e+02	2.581e+01	5.390e+02	2.322e+01	1.097e+03	3.312e+01	1.012e+03	3.181e+01	3.219e+03	5.674e+01	8.330e+02	2.886e+01	1.054e+03	3.247e+01	8.890e+02	2.982e+01	5.420e+02	2.328e+01	2.420e+02	1.556e+01	9.410e+02	3.068e+01	6.590e+02	2.567e+01	1.599e+03	3.999e+01	1.506e+03	3.881e+01	2.370e+02	1.539e+01	9.520e+02	3.085e+01	3.250e+02	1.803e+01	7.770e+02	2.787e+01	3.109e+03	5.576e+01	2.690e+03	5.187e+01	1.523e+03	3.903e+01	2.700e+02	1.643e+01	9.500e+02	3.082e+01	1.069e+03	3.270e+01	1.949e+03	4.415e+01	6.670e+02	2.583e+01	1.489e+03	3.859e+01	1.154e+03	3.397e+01	1.350e+03	3.674e+01	1.474e+03	3.839e+01	1.578e+03	3.972e+01	4.640e+02	2.154e+01	3.486e+03	5.904e+01	1.199e+03	3.463e+01	9.610e+02	3.100e+01
8	2.680e+02	1.637e+01	9.270e+02	3.045e+01	3.070e+02	1.752e+01	2.080e+02	1.442e+01	1.745e+03	4.177e+01	1.930e+02	1.389e+01	8.990e+02	2.998e+01	5.790e+02	2.406e+01	1.023e+03	3.198e+01	1.100e+02	1.049e+01	1.539e+03	3.923e+01	4.980e+02	2.232e+01	1.861e+03	4.314e+01	2.013e+03	4.487e+01	1.076e+03	3.280e+01	6.820e+02	2.612e+01	5.500e+02	2.345e+01	1.118e+03	3.344e+01	9.480e+02	3.079e+01	3.241e+03	5.693e+01	7.910e+02	2.812e+01	9.630e+02	3.103e+01	9.180e+02	3.030e+01	4.840e+02	2.200e+01	2.160e+02	1.470e+01	9.920e+02	3.150e+01	6.410e+02	2.532e+01	1.490e+03	3.860e+01	1.597e+03	3.996e+01	2.560e+02	1.600e+01	1.008e+03	3.175e+01	3.600e+02	1.897e+01	7.610e+02	2.759e+01	2.990e+03	5.468e+01	2.653e+03	5.151e+01	1.542e+03	3.927e+01	2.310e+02	1.520e+01	9.950e+02	3.154e+01	1.104e+03	3.323e+01	1.982e+03	4.452e+01	6.810e+02	2.610e+01	1.532e+03	3.914e+01	1.268e+03	3.561e+01	1.283e+03	3.582e+01	1.422e+03	3.771e+01	1.542e+03	3.927e+01	4.850e+02	2.202e+01	3.346e+03	5.784e+01	1.089e+03	3.300e+01	1.004e+03	3.169e+01
9	2.320e+02	1.523e+01	9.220e+02	3.036e+01	3.070e+02	1.752e+01	1.900e+02	1.378e+01	1.820e+03	4.266e+01	2.020e+02	1.421e+01	9.090e+02	3.015e+01	6.630e+02	2.575e+01	9.510e+02	3.084e+01	1.260e+02	1.122e+01	1.541e+03	3.926e+01	5.830e+02	2.415e+01	2.098e+03	4.580e+01	2.060e+03	4.539e+01	1.079e+03	3.285e+01	6.080e+02	2.466e+01	5.790e+02	2.406e+01	1.177e+03	3.431e+01	1.005e+03	3.170e+01	3.409e+03	5.839e+01	8.170e+02	2.858e+01	1.048e+03	3.237e+01	9.830e+02	3.135e+01	4.580e+02	2.140e+01	2.380e+02	1.543e+01	9.980e+02	3.159e+01	6.170e+02	2.484e+01	1.490e+03	3.860e+01	1.714e+03	4.140e+01	2.250e+02	1.500e+01	1.117e+03	3.342e+01	3.290e+02	1.814e+01	7.650e+02	2.766e+01	2.993e+03	5.471e+01	2.611e+03	5.110e+01	1.538e+03	3.922e+01	2.270e+02	1.507e+01	1.085e+03	3.294e+01	1.060e+03	3.256e+01	1.943e+03	4.408e+01	7.260e+02	2.694e+01	1.323e+03	3.637e+01	1.409e+03	3.754e+01	1.236e+03	3.516e+01	1.482e+03	3.850e+01	1.643e+03	4.053e+01	4.600e+02	2.145e+01	3.300e+03	5.745e+01	1.253e+03	3.540e+01	9.640e+02	3.105e+01
10	2.440e+02	1.562e+01	9.180e+02	3.030e+01	3.120e+02	1.766e+01	1.990e+02	1.411e+01	1.670e+03	4.087e+01	1.570e+02	1.253e+01	8.440e+02	2.905e+01	6.650e+02	2.579e+01	8.700e+02	2.950e+01	1.170e+02	1.082e+01	1.514e+03	3.891e+01	5.510e+02	2.347e+01	2.127e+03	4.612e+01	1.930e+03	4.393e+01	1.080e+03	3.286e+01	6.240e+02	2.498e+01	5.590e+02	2.364e+01	1.244e+03	3.527e+01	9.100e+02	3.017e+01	3.254e+03	5.704e+01	7.960e+02	2.821e+01	1.021e+03	3.195e+01	9.750e+02	3.122e+01	4.980e+02	2.232e+01	2.230e+02	1.493e+01	1.016e+03	3.187e+01	5.930e+02	2.435e+01	1.485e+03	3.854e+01	1.665e+03	4.080e+01	2.000e+02	1.414e+01	1.025e+03	3.202e+01	3.420e+02	1.849e+01	8.080e+02	2.843e+01	3.013e+03	5.489e+01	2.557e+03	5.057e+01	1.481e+03	3.848e+01	2.390e+02	1.546e+01	1.022e+03	3.197e+01	1.065e+03	3.263e+01	1.670e+03	4.087e+01	7.330e+02	2.707e+01	1.258e+03	3.547e+01	1.295e+03	3.599e+01	1.227e+03	3.503e+01	1.323e+03	3.637e+01	1.683e+03	4.102e+01	4.960e+02	2.227e+01	3.394e+03	5.826e+01	1.152e+03	3.394e+01	9.720e+02	3.118e+01
