# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: 12C14N
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=5		POL=2		POL=2		POL=2		POL=3		POL=2		POL=1		POL=1		POL=5		POL=1		POL=4		POL=2		POL=4		POL=0		POL=1		POL=2		POL=2		POL=4		POL=2		POL=5		POL=3		POL=1		POL=3		POL=3		POL=1		POL=4		POL=1		POL=5		POL=5		POL=1		POL=5		POL=4		POL=4		POL=2		POL=1		POL=2		POL=2		POL=5		POL=4		POL=0		POL=2		POL=5		POL=0		POL=2		POL=2		POL=4		POL=1		POL=2		POL=4		POL=1	
1	2.336e+03	4.833e+01	9.685e+03	9.841e+01	2.804e+03	5.295e+01	1.659e+04	1.288e+02	4.230e+04	2.057e+02	1.468e+04	1.212e+02	9.104e+03	9.541e+01	1.057e+04	1.028e+02	1.052e+04	1.025e+02	4.433e+03	6.658e+01	1.128e+04	1.062e+02	5.183e+03	7.199e+01	1.369e+04	1.170e+02	1.303e+04	1.142e+02	5.937e+03	7.705e+01	3.651e+03	6.042e+01	2.238e+03	4.731e+01	1.494e+04	1.222e+02	5.829e+03	7.635e+01	2.212e+04	1.487e+02	1.159e+04	1.077e+02	8.362e+03	9.144e+01	5.655e+03	7.520e+01	3.479e+03	5.898e+01	2.569e+03	5.069e+01	6.897e+03	8.305e+01	1.484e+04	1.218e+02	1.040e+04	1.020e+02	9.817e+03	9.908e+01	5.160e+03	7.183e+01	7.209e+03	8.491e+01	2.035e+03	4.511e+01	4.565e+03	6.756e+01	1.376e+04	1.173e+02	1.852e+04	1.361e+02	1.652e+04	1.285e+02	2.646e+03	5.144e+01	5.729e+03	7.569e+01	7.432e+03	8.621e+01	1.013e+04	1.007e+02	4.629e+03	6.804e+01	1.036e+04	1.018e+02	1.146e+04	1.070e+02	7.048e+03	8.395e+01	7.728e+03	8.791e+01	1.306e+04	1.143e+02	3.970e+03	6.301e+01	2.332e+04	1.527e+02	7.172e+03	8.469e+01	3.937e+03	6.275e+01
2	2.391e+03	4.890e+01	8.703e+03	9.329e+01	2.651e+03	5.149e+01	1.648e+04	1.284e+02	4.229e+04	2.057e+02	1.422e+04	1.192e+02	8.982e+03	9.477e+01	1.082e+04	1.040e+02	1.041e+04	1.020e+02	4.389e+03	6.625e+01	1.123e+04	1.060e+02	4.941e+03	7.029e+01	1.470e+04	1.212e+02	1.311e+04	1.145e+02	6.031e+03	7.766e+01	3.546e+03	5.955e+01	2.398e+03	4.897e+01	1.487e+04	1.220e+02	6.022e+03	7.760e+01	2.200e+04	1.483e+02	1.158e+04	1.076e+02	8.192e+03	9.051e+01	5.701e+03	7.550e+01	3.390e+03	5.822e+01	2.504e+03	5.004e+01	6.895e+03	8.304e+01	1.501e+04	1.225e+02	1.077e+04	1.038e+02	9.894e+03	9.947e+01	5.341e+03	7.308e+01	7.303e+03	8.546e+01	1.991e+03	4.462e+01	4.540e+03	6.738e+01	1.387e+04	1.178e+02	1.879e+04	1.371e+02	1.546e+04	1.243e+02	2.730e+03	5.225e+01	5.882e+03	7.669e+01	7.528e+03	8.676e+01	1.105e+04	1.051e+02	4.827e+03	6.948e+01	1.008e+04	1.004e+02	1.093e+04	1.046e+02	7.273e+03	8.528e+01	7.587e+03	8.710e+01	1.260e+04	1.123e+02	3.771e+03	6.141e+01	2.276e+04	1.509e+02	7.190e+03	8.479e+01	4.052e+03	6.366e+01
3	2.399e+03	4.898e+01	8.418e+03	9.175e+01	2.541e+03	5.041e+01	1.620e+04	1.273e+02	4.066e+04	2.016e+02	1.445e+04	1.202e+02	8.695e+03	9.325e+01	1.052e+04	1.026e+02	1.015e+04	1.007e+02	4.286e+03	6.547e+01	1.090e+04	1.044e+02	4.918e+03	7.013e+01	1.507e+04	1.227e+02	1.309e+04	1.144e+02	6.010e+03	7.752e+01	3.443e+03	5.868e+01	2.234e+03	4.727e+01	1.344e+04	1.159e+02	5.720e+03	7.563e+01	2.178e+04	1.476e+02	1.132e+04	1.064e+02	7.909e+03	8.893e+01	5.703e+03	7.552e+01	3.356e+03	5.793e+01	2.493e+03	4.993e+01	7.016e+03	8.376e+01	1.566e+04	1.252e+02	1.042e+04	1.021e+02	1.000e+04	1.000e+02	5.280e+03	7.266e+01	7.364e+03	8.581e+01	2.051e+03	4.529e+01	4.558e+03	6.751e+01	1.375e+04	1.172e+02	1.779e+04	1.334e+02	1.495e+04	1.223e+02	2.572e+03	5.071e+01	5.792e+03	7.611e+01	7.619e+03	8.729e+01	1.051e+04	1.025e+02	4.850e+03	6.964e+01	9.651e+03	9.824e+01	1.050e+04	1.025e+02	7.300e+03	8.544e+01	7.419e+03	8.613e+01	1.288e+04	1.135e+02	3.941e+03	6.278e+01	2.245e+04	1.498e+02	7.343e+03	8.569e+01	4.101e+03	6.404e+01
4	2.244e+03	4.737e+01	8.433e+03	9.183e+01	2.609e+03	5.108e+01	1.597e+04	1.264e+02	3.943e+04	1.986e+02	1.420e+04	1.192e+02	8.724e+03	9.340e+01	1.074e+04	1.036e+02	9.940e+03	9.970e+01	4.278e+03	6.541e+01	1.059e+04	1.029e+02	4.806e+03	6.933e+01	1.502e+04	1.226e+02	1.274e+04	1.129e+02	5.944e+03	7.710e+01	3.287e+03	5.733e+01	2.257e+03	4.751e+01	1.208e+04	1.099e+02	5.923e+03	7.696e+01	2.226e+04	1.492e+02	1.129e+04	1.062e+02	7.922e+03	8.901e+01	5.898e+03	7.680e+01	3.493e+03	5.910e+01	2.548e+03	5.048e+01	6.836e+03	8.268e+01	1.511e+04	1.229e+02	1.037e+04	1.018e+02	9.808e+03	9.904e+01	5.157e+03	7.181e+01	7.140e+03	8.450e+01	2.029e+03	4.504e+01	4.696e+03	6.853e+01	1.383e+04	1.176e+02	1.936e+04	1.391e+02	1.532e+04	1.238e+02	2.684e+03	5.181e+01	5.748e+03	7.582e+01	7.522e+03	8.673e+01	1.028e+04	1.014e+02	4.628e+03	6.803e+01	9.727e+03	9.863e+01	1.046e+04	1.023e+02	7.027e+03	8.383e+01	7.365e+03	8.582e+01	1.295e+04	1.138e+02	3.987e+03	6.314e+01	2.153e+04	1.467e+02	7.143e+03	8.452e+01	4.117e+03	6.416e+01
5	2.259e+03	4.753e+01	8.704e+03	9.330e+01	2.331e+03	4.828e+01	1.535e+04	1.239e+02	3.903e+04	1.976e+02	1.383e+04	1.176e+02	8.638e+03	9.294e+01	1.033e+04	1.017e+02	9.534e+03	9.764e+01	4.143e+03	6.437e+01	1.053e+04	1.026e+02	4.682e+03	6.843e+01	1.513e+04	1.230e+02	1.293e+04	1.137e+02	5.743e+03	7.578e+01	3.208e+03	5.664e+01	2.253e+03	4.747e+01	9.450e+03	9.721e+01	5.664e+03	7.526e+01	2.235e+04	1.495e+02	1.109e+04	1.053e+02	7.592e+03	8.713e+01	5.795e+03	7.612e+01	3.511e+03	5.925e+01	2.447e+03	4.947e+01	6.968e+03	8.347e+01	1.499e+04	1.224e+02	1.044e+04	1.022e+02	9.835e+03	9.917e+01	4.964e+03	7.046e+01	7.467e+03	8.641e+01	1.979e+03	4.449e+01	4.747e+03	6.890e+01	1.374e+04	1.172e+02	1.926e+04	1.388e+02	1.543e+04	1.242e+02	2.573e+03	5.072e+01	5.541e+03	7.444e+01	7.503e+03	8.662e+01	1.126e+04	1.061e+02	4.848e+03	6.963e+01	9.126e+03	9.553e+01	1.040e+04	1.020e+02	6.997e+03	8.365e+01	7.257e+03	8.519e+01	1.246e+04	1.116e+02	4.205e+03	6.485e+01	2.172e+04	1.474e+02	7.214e+03	8.494e+01	3.950e+03	6.285e+01
6	2.188e+03	4.678e+01	8.577e+03	9.261e+01	2.364e+03	4.862e+01	1.553e+04	1.246e+02	3.760e+04	1.939e+02	1.367e+04	1.169e+02	8.661e+03	9.306e+01	1.053e+04	1.026e+02	9.283e+03	9.635e+01	4.202e+03	6.482e+01	1.040e+04	1.020e+02	4.367e+03	6.608e+01	1.580e+04	1.257e+02	1.285e+04	1.134e+02	5.918e+03	7.693e+01	3.128e+03	5.593e+01	2.111e+03	4.595e+01	8.356e+03	9.141e+01	5.643e+03	7.512e+01	2.198e+04	1.482e+02	1.131e+04	1.063e+02	7.591e+03	8.713e+01	5.934e+03	7.703e+01	3.333e+03	5.773e+01	2.401e+03	4.900e+01	6.995e+03	8.364e+01	1.452e+04	1.205e+02	1.027e+04	1.013e+02	9.971e+03	9.985e+01	5.077e+03	7.125e+01	7.422e+03	8.615e+01	2.029e+03	4.504e+01	4.516e+03	6.720e+01	1.425e+04	1.194e+02	1.904e+04	1.380e+02	1.545e+04	1.243e+02	2.632e+03	5.130e+01	5.477e+03	7.401e+01	7.452e+03	8.632e+01	1.097e+04	1.047e+02	4.726e+03	6.875e+01	8.749e+03	9.354e+01	1.074e+04	1.036e+02	6.914e+03	8.315e+01	7.165e+03	8.465e+01	1.178e+04	1.085e+02	3.939e+03	6.276e+01	2.138e+04	1.462e+02	6.817e+03	8.257e+01	3.934e+03	6.272e+01
7	2.191e+03	4.681e+01	8.509e+03	9.224e+01	2.354e+03	4.852e+01	1.462e+04	1.209e+02	3.688e+04	1.920e+02	1.359e+04	1.166e+02	8.554e+03	9.249e+01	1.039e+04	1.019e+02	8.889e+03	9.428e+01	3.962e+03	6.294e+01	1.047e+04	1.023e+02	4.315e+03	6.569e+01	1.574e+04	1.255e+02	1.275e+04	1.129e+02	5.999e+03	7.745e+01	3.081e+03	5.551e+01	2.200e+03	4.690e+01	8.209e+03	9.060e+01	5.660e+03	7.523e+01	2.168e+04	1.472e+02	1.116e+04	1.057e+02	7.296e+03	8.542e+01	5.957e+03	7.718e+01	3.405e+03	5.835e+01	2.396e+03	4.895e+01	6.779e+03	8.233e+01	1.422e+04	1.193e+02	1.052e+04	1.026e+02	9.956e+03	9.978e+01	4.975e+03	7.053e+01	7.416e+03	8.612e+01	2.060e+03	4.539e+01	4.506e+03	6.713e+01	1.426e+04	1.194e+02	1.859e+04	1.363e+02	1.536e+04	1.239e+02	2.673e+03	5.170e+01	5.298e+03	7.279e+01	7.225e+03	8.500e+01	1.151e+04	1.073e+02	4.564e+03	6.756e+01	8.322e+03	9.122e+01	1.004e+04	1.002e+02	6.660e+03	8.161e+01	6.757e+03	8.220e+01	1.174e+04	1.084e+02	3.787e+03	6.154e+01	2.105e+04	1.451e+02	6.736e+03	8.207e+01	3.761e+03	6.133e+01
8	2.045e+03	4.522e+01	8.393e+03	9.161e+01	2.272e+03	4.767e+01	1.425e+04	1.194e+02	3.601e+04	1.898e+02	1.321e+04	1.149e+02	8.443e+03	9.189e+01	1.061e+04	1.030e+02	9.231e+03	9.608e+01	4.049e+03	6.363e+01	1.043e+04	1.021e+02	4.408e+03	6.639e+01	1.658e+04	1.288e+02	1.256e+04	1.120e+02	5.931e+03	7.701e+01	2.899e+03	5.384e+01	2.113e+03	4.597e+01	8.389e+03	9.159e+01	5.369e+03	7.327e+01	2.188e+04	1.479e+02	1.118e+04	1.058e+02	7.281e+03	8.533e+01	5.951e+03	7.714e+01	3.306e+03	5.750e+01	2.179e+03	4.668e+01	7.134e+03	8.446e+01	1.423e+04	1.193e+02	9.791e+03	9.895e+01	1.038e+04	1.019e+02	4.824e+03	6.946e+01	7.321e+03	8.556e+01	2.127e+03	4.612e+01	4.548e+03	6.744e+01	1.427e+04	1.195e+02	1.808e+04	1.345e+02	1.484e+04	1.218e+02	2.399e+03	4.898e+01	5.255e+03	7.249e+01	7.403e+03	8.604e+01	1.133e+04	1.064e+02	4.656e+03	6.823e+01	8.056e+03	8.976e+01	1.045e+04	1.022e+02	6.646e+03	8.152e+01	6.671e+03	8.168e+01	1.176e+04	1.084e+02	3.876e+03	6.226e+01	2.033e+04	1.426e+02	6.539e+03	8.086e+01	3.749e+03	6.123e+01
9	1.950e+03	4.416e+01	8.023e+03	8.957e+01	2.340e+03	4.837e+01	1.490e+04	1.220e+02	3.532e+04	1.879e+02	1.345e+04	1.160e+02	8.277e+03	9.098e+01	1.042e+04	1.021e+02	8.848e+03	9.406e+01	3.995e+03	6.321e+01	1.029e+04	1.014e+02	4.420e+03	6.648e+01	1.737e+04	1.318e+02	1.274e+04	1.129e+02	6.234e+03	7.896e+01	2.949e+03	5.430e+01	2.289e+03	4.784e+01	8.689e+03	9.321e+01	5.372e+03	7.329e+01	2.196e+04	1.482e+02	1.152e+04	1.073e+02	7.251e+03	8.515e+01	6.371e+03	7.982e+01	3.396e+03	5.828e+01	2.277e+03	4.772e+01	7.266e+03	8.524e+01	1.427e+04	1.195e+02	9.723e+03	9.861e+01	1.064e+04	1.032e+02	4.950e+03	7.036e+01	7.376e+03	8.588e+01	2.140e+03	4.626e+01	4.662e+03	6.828e+01	1.431e+04	1.196e+02	1.841e+04	1.357e+02	1.513e+04	1.230e+02	2.441e+03	4.941e+01	5.151e+03	7.177e+01	7.324e+03	8.558e+01	1.102e+04	1.050e+02	4.785e+03	6.917e+01	8.036e+03	8.964e+01	1.123e+04	1.060e+02	6.572e+03	8.107e+01	6.709e+03	8.191e+01	1.164e+04	1.079e+02	3.719e+03	6.098e+01	1.923e+04	1.387e+02	6.619e+03	8.136e+01	3.738e+03	6.114e+01
10	1.980e+03	4.450e+01	8.147e+03	9.026e+01	2.345e+03	4.843e+01	1.408e+04	1.186e+02	3.490e+04	1.868e+02	1.270e+04	1.127e+02	8.165e+03	9.036e+01	1.035e+04	1.017e+02	8.775e+03	9.367e+01	3.747e+03	6.121e+01	9.894e+03	9.947e+01	4.047e+03	6.362e+01	1.704e+04	1.305e+02	1.229e+04	1.109e+02	5.712e+03	7.558e+01	2.797e+03	5.289e+01	2.100e+03	4.583e+01	8.985e+03	9.479e+01	5.626e+03	7.501e+01	2.123e+04	1.457e+02	1.145e+04	1.070e+02	6.941e+03	8.331e+01	6.456e+03	8.035e+01	3.450e+03	5.874e+01	2.234e+03	4.727e+01	7.233e+03	8.505e+01	1.404e+04	1.185e+02	9.736e+03	9.867e+01	1.053e+04	1.026e+02	4.843e+03	6.959e+01	7.363e+03	8.581e+01	2.264e+03	4.758e+01	4.584e+03	6.771e+01	1.441e+04	1.200e+02	1.815e+04	1.347e+02	1.514e+04	1.231e+02	2.537e+03	5.037e+01	5.111e+03	7.149e+01	7.167e+03	8.466e+01	1.023e+04	1.012e+02	4.573e+03	6.762e+01	7.761e+03	8.810e+01	1.055e+04	1.027e+02	6.478e+03	8.049e+01	6.658e+03	8.160e+01	1.208e+04	1.099e+02	3.927e+03	6.267e+01	1.987e+04	1.410e+02	6.389e+03	7.993e+01	3.488e+03	5.906e+01
