# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: 12C2
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=3		POL=2		POL=0		POL=2		POL=3		POL=2		POL=0		POL=0		POL=4		POL=4		POL=2		POL=0		POL=4		POL=5		POL=5		POL=1		POL=3		POL=4		POL=3		POL=3		POL=3		POL=1		POL=3		POL=0		POL=0		POL=4		POL=2		POL=4		POL=3		POL=0		POL=5		POL=0		POL=4		POL=2		POL=1		POL=5		POL=1		POL=1		POL=4		POL=4		POL=0		POL=2		POL=1		POL=2		POL=0		POL=4		POL=3		POL=4		POL=2		POL=1	
1	1.680e+03	4.099e+01	6.094e+03	7.806e+01	1.907e+03	4.367e+01	8.421e+03	9.177e+01	2.924e+04	1.710e+02	8.078e+03	8.988e+01	5.015e+03	7.082e+01	3.914e+03	6.256e+01	7.116e+03	8.436e+01	5.121e+03	7.156e+01	9.549e+03	9.772e+01	3.440e+03	5.865e+01	8.095e+03	8.997e+01	9.980e+03	9.990e+01	5.311e+03	7.288e+01	4.045e+03	6.360e+01	2.525e+03	5.025e+01	1.129e+04	1.063e+02	4.895e+03	6.996e+01	1.782e+04	1.335e+02	6.829e+03	8.264e+01	6.989e+03	8.360e+01	4.160e+03	6.450e+01	2.544e+03	5.044e+01	1.623e+03	4.029e+01	4.432e+03	6.657e+01	9.754e+03	9.876e+01	7.867e+03	8.870e+01	7.348e+03	8.572e+01	1.787e+03	4.227e+01	4.918e+03	7.013e+01	1.442e+03	3.797e+01	3.749e+03	6.123e+01	1.359e+04	1.166e+02	1.186e+04	1.089e+02	9.110e+03	9.545e+01	1.542e+03	3.927e+01	4.659e+03	6.826e+01	5.731e+03	7.570e+01	7.964e+03	8.924e+01	3.160e+03	5.621e+01	7.962e+03	8.923e+01	7.703e+03	8.777e+01	6.097e+03	7.808e+01	7.475e+03	8.646e+01	8.956e+03	9.464e+01	2.516e+03	5.016e+01	1.785e+04	1.336e+02	5.225e+03	7.228e+01	4.332e+03	6.582e+01
2	1.692e+03	4.113e+01	5.872e+03	7.663e+01	1.802e+03	4.245e+01	8.401e+03	9.166e+01	2.830e+04	1.682e+02	7.754e+03	8.806e+01	4.963e+03	7.045e+01	4.038e+03	6.355e+01	7.097e+03	8.424e+01	4.920e+03	7.014e+01	9.598e+03	9.797e+01	3.063e+03	5.534e+01	8.595e+03	9.271e+01	1.047e+04	1.023e+02	5.345e+03	7.311e+01	3.732e+03	6.109e+01	2.560e+03	5.060e+01	1.164e+04	1.079e+02	4.874e+03	6.981e+01	1.777e+04	1.333e+02	6.864e+03	8.285e+01	6.579e+03	8.111e+01	4.099e+03	6.402e+01	2.503e+03	5.003e+01	1.499e+03	3.872e+01	4.341e+03	6.589e+01	9.719e+03	9.858e+01	8.343e+03	9.134e+01	7.483e+03	8.650e+01	1.872e+03	4.327e+01	4.905e+03	7.004e+01	1.395e+03	3.735e+01	3.731e+03	6.108e+01	1.424e+04	1.193e+02	1.283e+04	1.133e+02	8.538e+03	9.240e+01	1.555e+03	3.943e+01	4.769e+03	6.906e+01	5.844e+03	7.645e+01	8.716e+03	9.336e+01	3.307e+03	5.751e+01	7.546e+03	8.687e+01	7.760e+03	8.809e+01	6.166e+03	7.852e+01	7.612e+03	8.725e+01	8.678e+03	9.316e+01	2.530e+03	5.030e+01	1.787e+04	1.337e+02	5.427e+03	7.367e+01	4.458e+03	6.677e+01
3	1.755e+03	4.189e+01	5.581e+03	7.471e+01	1.768e+03	4.205e+01	8.180e+03	9.044e+01	2.771e+04	1.665e+02	7.612e+03	8.725e+01	4.989e+03	7.063e+01	3.771e+03	6.141e+01	7.008e+03	8.371e+01	4.645e+03	6.815e+01	9.278e+03	9.632e+01	3.312e+03	5.755e+01	9.149e+03	9.565e+01	1.068e+04	1.033e+02	5.369e+03	7.327e+01	3.757e+03	6.129e+01	2.547e+03	5.047e+01	1.016e+04	1.008e+02	4.726e+03	6.875e+01	1.785e+04	1.336e+02	6.898e+03	8.305e+01	6.229e+03	7.892e+01	4.222e+03	6.498e+01	2.444e+03	4.944e+01	1.477e+03	3.843e+01	4.492e+03	6.702e+01	9.868e+03	9.934e+01	7.981e+03	8.934e+01	7.578e+03	8.705e+01	1.805e+03	4.249e+01	5.101e+03	7.142e+01	1.515e+03	3.892e+01	3.802e+03	6.166e+01	1.390e+04	1.179e+02	1.219e+04	1.104e+02	8.226e+03	9.070e+01	1.463e+03	3.825e+01	4.714e+03	6.866e+01	5.719e+03	7.562e+01	8.400e+03	9.165e+01	3.280e+03	5.727e+01	7.414e+03	8.610e+01	7.353e+03	8.575e+01	6.147e+03	7.840e+01	7.334e+03	8.564e+01	8.787e+03	9.374e+01	2.759e+03	5.253e+01	1.754e+04	1.324e+02	5.286e+03	7.270e+01	4.519e+03	6.722e+01
4	1.700e+03	4.123e+01	5.514e+03	7.426e+01	1.820e+03	4.266e+01	7.951e+03	8.917e+01	2.746e+04	1.657e+02	7.845e+03	8.857e+01	4.804e+03	6.931e+01	3.869e+03	6.220e+01	6.955e+03	8.340e+01	4.619e+03	6.796e+01	9.168e+03	9.575e+01	3.191e+03	5.649e+01	9.041e+03	9.508e+01	1.069e+04	1.034e+02	5.328e+03	7.299e+01	3.773e+03	6.142e+01	2.561e+03	5.061e+01	8.898e+03	9.433e+01	4.824e+03	6.946e+01	1.811e+04	1.346e+02	6.734e+03	8.206e+01	6.263e+03	7.914e+01	4.363e+03	6.605e+01	2.543e+03	5.043e+01	1.494e+03	3.865e+01	4.365e+03	6.607e+01	9.831e+03	9.915e+01	8.015e+03	8.953e+01	7.430e+03	8.620e+01	1.790e+03	4.231e+01	4.939e+03	7.028e+01	1.430e+03	3.782e+01	3.755e+03	6.128e+01	1.404e+04	1.185e+02	1.332e+04	1.154e+02	8.265e+03	9.091e+01	1.533e+03	3.915e+01	4.780e+03	6.914e+01	5.688e+03	7.542e+01	8.351e+03	9.138e+01	3.279e+03	5.726e+01	7.400e+03	8.602e+01	7.390e+03	8.597e+01	6.126e+03	7.827e+01	7.370e+03	8.585e+01	9.002e+03	9.488e+01	2.876e+03	5.363e+01	1.745e+04	1.321e+02	5.348e+03	7.313e+01	4.532e+03	6.732e+01
5	1.680e+03	4.099e+01	5.688e+03	7.542e+01	1.779e+03	4.218e+01	7.886e+03	8.880e+01	2.710e+04	1.646e+02	7.707e+03	8.779e+01	5.006e+03	7.075e+01	4.017e+03	6.338e+01	6.533e+03	8.083e+01	4.600e+03	6.782e+01	8.901e+03	9.435e+01	3.147e+03	5.610e+01	9.293e+03	9.640e+01	1.092e+04	1.045e+02	5.551e+03	7.451e+01	3.704e+03	6.086e+01	2.611e+03	5.110e+01	6.767e+03	8.226e+01	4.644e+03	6.815e+01	1.825e+04	1.351e+02	6.722e+03	8.199e+01	6.180e+03	7.861e+01	4.459e+03	6.678e+01	2.494e+03	4.994e+01	1.473e+03	3.838e+01	4.470e+03	6.686e+01	9.497e+03	9.745e+01	8.024e+03	8.958e+01	7.636e+03	8.738e+01	1.782e+03	4.221e+01	5.121e+03	7.156e+01	1.432e+03	3.784e+01	3.882e+03	6.231e+01	1.428e+04	1.195e+02	1.379e+04	1.174e+02	8.573e+03	9.259e+01	1.527e+03	3.908e+01	4.846e+03	6.961e+01	5.627e+03	7.501e+01	9.390e+03	9.690e+01	3.332e+03	5.772e+01	7.274e+03	8.529e+01	7.297e+03	8.542e+01	6.206e+03	7.878e+01	7.270e+03	8.526e+01	8.743e+03	9.350e+01	2.972e+03	5.452e+01	1.778e+04	1.334e+02	5.386e+03	7.339e+01	4.457e+03	6.676e+01
6	1.675e+03	4.093e+01	5.700e+03	7.550e+01	1.808e+03	4.252e+01	7.767e+03	8.813e+01	2.659e+04	1.631e+02	7.548e+03	8.688e+01	4.935e+03	7.025e+01	3.855e+03	6.209e+01	6.496e+03	8.060e+01	4.554e+03	6.748e+01	8.883e+03	9.425e+01	2.937e+03	5.419e+01	9.463e+03	9.728e+01	1.066e+04	1.032e+02	5.668e+03	7.529e+01	3.595e+03	5.996e+01	2.566e+03	5.066e+01	6.164e+03	7.851e+01	4.680e+03	6.841e+01	1.824e+04	1.351e+02	6.631e+03	8.143e+01	6.128e+03	7.828e+01	4.523e+03	6.725e+01	2.606e+03	5.105e+01	1.475e+03	3.841e+01	4.535e+03	6.734e+01	9.659e+03	9.828e+01	8.192e+03	9.051e+01	7.795e+03	8.829e+01	1.795e+03	4.237e+01	5.090e+03	7.134e+01	1.464e+03	3.826e+01	3.700e+03	6.083e+01	1.474e+04	1.214e+02	1.336e+04	1.156e+02	8.769e+03	9.364e+01	1.462e+03	3.824e+01	4.732e+03	6.879e+01	5.689e+03	7.543e+01	9.383e+03	9.687e+01	3.337e+03	5.777e+01	7.002e+03	8.368e+01	7.778e+03	8.819e+01	6.167e+03	7.853e+01	7.371e+03	8.585e+01	8.354e+03	9.140e+01	2.850e+03	5.339e+01	1.738e+04	1.318e+02	5.259e+03	7.252e+01	4.552e+03	6.747e+01
7	1.691e+03	4.112e+01	5.656e+03	7.521e+01	1.732e+03	4.162e+01	7.678e+03	8.762e+01	2.626e+04	1.620e+02	7.517e+03	8.670e+01	5.166e+03	7.187e+01	4.027e+03	6.346e+01	6.199e+03	7.873e+01	4.540e+03	6.738e+01	8.783e+03	9.372e+01	2.980e+03	5.459e+01	9.825e+03	9.912e+01	1.084e+04	1.041e+02	5.739e+03	7.576e+01	3.643e+03	6.036e+01	2.643e+03	5.141e+01	6.164e+03	7.851e+01	4.814e+03	6.938e+01	1.822e+04	1.350e+02	6.494e+03	8.059e+01	6.000e+03	7.746e+01	4.473e+03	6.688e+01	2.627e+03	5.125e+01	1.390e+03	3.728e+01	4.375e+03	6.614e+01	9.212e+03	9.598e+01	8.374e+03	9.151e+01	7.901e+03	8.889e+01	1.785e+03	4.225e+01	5.025e+03	7.089e+01	1.527e+03	3.908e+01	3.839e+03	6.196e+01	1.458e+04	1.207e+02	1.303e+04	1.141e+02	8.987e+03	9.480e+01	1.582e+03	3.977e+01	4.865e+03	6.975e+01	5.527e+03	7.434e+01	9.815e+03	9.907e+01	3.184e+03	5.643e+01	6.677e+03	8.171e+01	7.340e+03	8.567e+01	6.048e+03	7.777e+01	6.843e+03	8.272e+01	8.433e+03	9.183e+01	2.847e+03	5.336e+01	1.744e+04	1.321e+02	5.166e+03	7.187e+01	4.495e+03	6.704e+01
8	1.597e+03	3.996e+01	5.663e+03	7.525e+01	1.690e+03	4.111e+01	7.551e+03	8.690e+01	2.531e+04	1.591e+02	7.156e+03	8.459e+01	4.940e+03	7.029e+01	3.943e+03	6.279e+01	6.327e+03	7.954e+01	4.171e+03	6.458e+01	9.010e+03	9.492e+01	3.103e+03	5.570e+01	1.047e+04	1.023e+02	1.086e+04	1.042e+02	5.889e+03	7.674e+01	3.557e+03	5.964e+01	2.617e+03	5.116e+01	6.221e+03	7.887e+01	4.528e+03	6.729e+01	1.845e+04	1.358e+02	6.616e+03	8.134e+01	5.809e+03	7.622e+01	4.515e+03	6.719e+01	2.684e+03	5.181e+01	1.278e+03	3.575e+01	4.689e+03	6.848e+01	9.208e+03	9.596e+01	7.887e+03	8.881e+01	8.352e+03	9.139e+01	1.784e+03	4.224e+01	5.194e+03	7.207e+01	1.649e+03	4.061e+01	3.683e+03	6.069e+01	1.458e+04	1.208e+02	1.301e+04	1.141e+02	8.924e+03	9.447e+01	1.410e+03	3.755e+01	5.064e+03	7.116e+01	5.483e+03	7.405e+01	9.808e+03	9.904e+01	3.256e+03	5.706e+01	6.584e+03	8.114e+01	7.867e+03	8.870e+01	6.239e+03	7.899e+01	6.929e+03	8.324e+01	8.439e+03	9.186e+01	3.016e+03	5.492e+01	1.719e+04	1.311e+02	5.166e+03	7.187e+01	4.660e+03	6.826e+01
9	1.445e+03	3.801e+01	5.621e+03	7.497e+01	1.757e+03	4.192e+01	7.858e+03	8.865e+01	2.606e+04	1.614e+02	7.295e+03	8.541e+01	5.033e+03	7.094e+01	4.037e+03	6.354e+01	6.093e+03	7.806e+01	4.970e+03	7.050e+01	8.947e+03	9.459e+01	3.174e+03	5.634e+01	1.155e+04	1.075e+02	1.083e+04	1.040e+02	5.597e+03	7.481e+01	3.687e+03	6.072e+01	2.690e+03	5.187e+01	6.517e+03	8.073e+01	4.390e+03	6.626e+01	1.867e+04	1.366e+02	6.933e+03	8.326e+01	6.148e+03	7.841e+01	4.802e+03	6.930e+01	2.353e+03	4.851e+01	1.481e+03	3.848e+01	4.904e+03	7.003e+01	9.221e+03	9.603e+01	8.108e+03	9.004e+01	8.271e+03	9.095e+01	1.562e+03	3.952e+01	5.202e+03	7.212e+01	1.392e+03	3.731e+01	3.778e+03	6.147e+01	1.495e+04	1.223e+02	1.247e+04	1.117e+02	9.310e+03	9.649e+01	1.628e+03	4.035e+01	5.230e+03	7.232e+01	5.410e+03	7.355e+01	9.492e+03	9.743e+01	3.247e+03	5.698e+01	6.399e+03	7.999e+01	8.712e+03	9.334e+01	6.010e+03	7.752e+01	6.768e+03	8.227e+01	8.434e+03	9.184e+01	2.708e+03	5.204e+01	1.666e+04	1.291e+02	5.114e+03	7.151e+01	4.400e+03	6.633e+01
10	1.583e+03	3.979e+01	5.544e+03	7.446e+01	1.662e+03	4.077e+01	7.550e+03	8.689e+01	2.569e+04	1.603e+02	7.196e+03	8.483e+01	5.073e+03	7.122e+01	4.041e+03	6.357e+01	5.992e+03	7.741e+01	4.823e+03	6.945e+01	8.529e+03	9.235e+01	3.082e+03	5.552e+01	1.164e+04	1.079e+02	1.063e+04	1.031e+02	5.473e+03	7.398e+01	3.592e+03	5.993e+01	2.615e+03	5.114e+01	6.797e+03	8.244e+01	4.457e+03	6.676e+01	1.825e+04	1.351e+02	6.779e+03	8.233e+01	5.837e+03	7.640e+01	4.919e+03	7.014e+01	2.439e+03	4.939e+01	1.435e+03	3.788e+01	4.836e+03	6.954e+01	8.936e+03	9.453e+01	7.875e+03	8.874e+01	8.583e+03	9.264e+01	1.527e+03	3.908e+01	5.060e+03	7.113e+01	1.407e+03	3.751e+01	3.792e+03	6.158e+01	1.485e+04	1.218e+02	1.264e+04	1.124e+02	9.111e+03	9.545e+01	1.632e+03	4.040e+01	5.212e+03	7.219e+01	5.295e+03	7.277e+01	8.563e+03	9.254e+01	3.234e+03	5.687e+01	6.154e+03	7.845e+01	8.021e+03	8.956e+01	5.867e+03	7.660e+01	6.719e+03	8.197e+01	8.357e+03	9.142e+01	2.980e+03	5.459e+01	1.715e+04	1.310e+02	4.955e+03	7.039e+01	4.402e+03	6.635e+01
