# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: 1AU
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=5		POL=3		POL=0		POL=1		POL=1		POL=5		POL=5		POL=1		POL=5		POL=0		POL=3		POL=0		POL=3		POL=1		POL=2		POL=2		POL=4		POL=5		POL=0		POL=2		POL=1		POL=3		POL=1		POL=2		POL=1		POL=1		POL=1		POL=3		POL=5		POL=0		POL=2		POL=4		POL=5		POL=1		POL=3		POL=1		POL=0		POL=5		POL=3		POL=4		POL=2		POL=3		POL=3		POL=3		POL=4		POL=5		POL=0		POL=2		POL=4		POL=1	
1	2.378e+04	1.542e+02	6.438e+04	2.537e+02	3.252e+04	1.803e+02	1.806e+05	4.249e+02	2.720e+05	5.216e+02	1.201e+05	3.466e+02	6.492e+04	2.548e+02	7.965e+04	2.822e+02	7.592e+04	2.755e+02	5.001e+04	2.236e+02	8.039e+04	2.835e+02	6.212e+04	2.492e+02	1.619e+05	4.024e+02	9.983e+04	3.160e+02	9.546e+04	3.090e+02	3.266e+04	1.807e+02	2.486e+04	1.577e+02	1.377e+05	3.711e+02	5.217e+04	2.284e+02	1.560e+05	3.949e+02	1.328e+05	3.644e+02	6.044e+04	2.458e+02	8.895e+04	2.982e+02	3.195e+04	1.787e+02	3.419e+04	1.849e+02	7.769e+04	2.787e+02	1.811e+05	4.256e+02	1.123e+05	3.351e+02	1.338e+05	3.658e+02	6.649e+04	2.579e+02	8.943e+04	2.990e+02	3.202e+04	1.789e+02	4.270e+04	2.066e+02	7.954e+04	2.820e+02	1.191e+05	3.451e+02	1.421e+05	3.769e+02	2.116e+04	1.455e+02	7.133e+04	2.671e+02	7.041e+04	2.653e+02	1.438e+05	3.793e+02	5.503e+04	2.346e+02	4.439e+04	2.107e+02	1.423e+05	3.772e+02	8.901e+04	2.983e+02	4.337e+04	2.083e+02	1.613e+05	4.016e+02	2.934e+04	1.713e+02	1.424e+05	3.773e+02	7.930e+04	2.816e+02	3.555e+04	1.885e+02
2	2.225e+04	1.492e+02	6.223e+04	2.495e+02	3.235e+04	1.799e+02	1.796e+05	4.238e+02	2.682e+05	5.179e+02	1.194e+05	3.456e+02	6.280e+04	2.506e+02	7.964e+04	2.822e+02	7.342e+04	2.710e+02	4.950e+04	2.225e+02	7.870e+04	2.805e+02	6.178e+04	2.486e+02	1.573e+05	3.966e+02	9.420e+04	3.069e+02	9.412e+04	3.068e+02	3.136e+04	1.771e+02	2.446e+04	1.564e+02	1.352e+05	3.676e+02	5.086e+04	2.255e+02	1.571e+05	3.964e+02	1.293e+05	3.596e+02	5.814e+04	2.411e+02	8.694e+04	2.949e+02	3.142e+04	1.773e+02	3.387e+04	1.840e+02	7.714e+04	2.777e+02	1.823e+05	4.270e+02	1.099e+05	3.314e+02	1.335e+05	3.653e+02	6.539e+04	2.557e+02	8.857e+04	2.976e+02	3.107e+04	1.763e+02	4.269e+04	2.066e+02	7.753e+04	2.784e+02	1.180e+05	3.435e+02	1.401e+05	3.743e+02	1.996e+04	1.413e+02	7.095e+04	2.664e+02	6.946e+04	2.635e+02	1.373e+05	3.705e+02	5.407e+04	2.325e+02	4.202e+04	2.050e+02	1.404e+05	3.747e+02	8.816e+04	2.969e+02	4.085e+04	2.021e+02	1.586e+05	3.982e+02	2.873e+04	1.695e+02	1.398e+05	3.739e+02	7.820e+04	2.796e+02	3.547e+04	1.883e+02
3	2.211e+04	1.487e+02	5.992e+04	2.448e+02	3.199e+04	1.788e+02	1.795e+05	4.237e+02	2.663e+05	5.160e+02	1.172e+05	3.423e+02	6.079e+04	2.465e+02	7.996e+04	2.828e+02	7.120e+04	2.668e+02	4.746e+04	2.178e+02	7.635e+04	2.763e+02	5.923e+04	2.434e+02	1.542e+05	3.927e+02	9.283e+04	3.047e+02	9.408e+04	3.067e+02	3.080e+04	1.755e+02	2.422e+04	1.556e+02	1.471e+05	3.835e+02	5.020e+04	2.241e+02	1.571e+05	3.964e+02	1.267e+05	3.560e+02	5.786e+04	2.405e+02	8.438e+04	2.905e+02	3.072e+04	1.753e+02	3.536e+04	1.881e+02	7.516e+04	2.741e+02	1.834e+05	4.283e+02	1.091e+05	3.303e+02	1.320e+05	3.633e+02	6.505e+04	2.551e+02	8.804e+04	2.967e+02	3.045e+04	1.745e+02	4.260e+04	2.064e+02	7.848e+04	2.801e+02	1.186e+05	3.444e+02	1.393e+05	3.733e+02	1.949e+04	1.396e+02	7.123e+04	2.669e+02	6.921e+04	2.631e+02	1.299e+05	3.604e+02	5.116e+04	2.262e+02	4.325e+04	2.080e+02	1.398e+05	3.739e+02	8.717e+04	2.952e+02	4.084e+04	2.021e+02	1.544e+05	3.930e+02	2.860e+04	1.691e+02	1.363e+05	3.692e+02	7.672e+04	2.770e+02	3.598e+04	1.897e+02
4	2.215e+04	1.488e+02	5.973e+04	2.444e+02	3.215e+04	1.793e+02	1.791e+05	4.232e+02	2.674e+05	5.171e+02	1.180e+05	3.436e+02	6.076e+04	2.465e+02	8.194e+04	2.862e+02	7.126e+04	2.670e+02	4.776e+04	2.185e+02	7.723e+04	2.779e+02	6.080e+04	2.466e+02	1.546e+05	3.931e+02	9.234e+04	3.039e+02	9.380e+04	3.063e+02	3.093e+04	1.759e+02	2.476e+04	1.573e+02	1.438e+05	3.792e+02	5.062e+04	2.250e+02	1.657e+05	4.070e+02	1.279e+05	3.576e+02	5.955e+04	2.440e+02	8.567e+04	2.927e+02	3.062e+04	1.750e+02	3.567e+04	1.889e+02	7.493e+04	2.737e+02	1.834e+05	4.283e+02	1.107e+05	3.327e+02	1.317e+05	3.629e+02	6.528e+04	2.555e+02	8.855e+04	2.976e+02	3.039e+04	1.743e+02	4.263e+04	2.065e+02	8.270e+04	2.876e+02	1.114e+05	3.337e+02	1.453e+05	3.811e+02	1.895e+04	1.377e+02	7.102e+04	2.665e+02	6.927e+04	2.632e+02	1.356e+05	3.682e+02	5.081e+04	2.254e+02	4.425e+04	2.104e+02	1.406e+05	3.749e+02	8.654e+04	2.942e+02	4.033e+04	2.008e+02	1.542e+05	3.926e+02	2.861e+04	1.692e+02	1.303e+05	3.610e+02	7.641e+04	2.764e+02	3.637e+04	1.907e+02
5	2.173e+04	1.474e+02	6.002e+04	2.450e+02	3.217e+04	1.794e+02	1.801e+05	4.243e+02	2.679e+05	5.176e+02	1.183e+05	3.439e+02	6.062e+04	2.462e+02	8.205e+04	2.864e+02	7.130e+04	2.670e+02	4.824e+04	2.196e+02	7.810e+04	2.795e+02	5.978e+04	2.445e+02	1.557e+05	3.946e+02	9.160e+04	3.027e+02	9.495e+04	3.081e+02	2.987e+04	1.728e+02	2.512e+04	1.585e+02	1.405e+05	3.749e+02	5.094e+04	2.257e+02	1.711e+05	4.137e+02	1.271e+05	3.564e+02	6.051e+04	2.460e+02	8.638e+04	2.939e+02	3.055e+04	1.748e+02	3.443e+04	1.856e+02	7.597e+04	2.756e+02	1.854e+05	4.305e+02	1.103e+05	3.322e+02	1.329e+05	3.645e+02	6.750e+04	2.598e+02	8.775e+04	2.962e+02	3.066e+04	1.751e+02	4.312e+04	2.077e+02	8.408e+04	2.900e+02	1.130e+05	3.362e+02	1.500e+05	3.873e+02	1.992e+04	1.411e+02	7.207e+04	2.685e+02	6.926e+04	2.632e+02	1.226e+05	3.501e+02	5.091e+04	2.256e+02	4.430e+04	2.105e+02	1.420e+05	3.768e+02	8.733e+04	2.955e+02	4.010e+04	2.002e+02	1.535e+05	3.918e+02	2.910e+04	1.706e+02	1.310e+05	3.620e+02	7.688e+04	2.773e+02	3.653e+04	1.911e+02
6	2.162e+04	1.471e+02	5.885e+04	2.426e+02	3.213e+04	1.793e+02	1.819e+05	4.265e+02	2.670e+05	5.167e+02	1.180e+05	3.436e+02	5.918e+04	2.433e+02	8.178e+04	2.860e+02	7.016e+04	2.649e+02	4.747e+04	2.179e+02	7.842e+04	2.800e+02	6.010e+04	2.451e+02	1.542e+05	3.927e+02	9.091e+04	3.015e+02	9.515e+04	3.085e+02	2.985e+04	1.728e+02	2.545e+04	1.595e+02	1.368e+05	3.699e+02	4.982e+04	2.232e+02	1.758e+05	4.193e+02	1.252e+05	3.538e+02	6.084e+04	2.467e+02	8.562e+04	2.926e+02	2.977e+04	1.725e+02	3.541e+04	1.882e+02	7.509e+04	2.740e+02	1.864e+05	4.317e+02	1.093e+05	3.306e+02	1.316e+05	3.628e+02	6.512e+04	2.552e+02	8.766e+04	2.961e+02	2.986e+04	1.728e+02	4.313e+04	2.077e+02	9.132e+04	3.022e+02	1.146e+05	3.385e+02	1.547e+05	3.933e+02	1.860e+04	1.364e+02	7.188e+04	2.681e+02	6.929e+04	2.632e+02	1.227e+05	3.503e+02	4.875e+04	2.208e+02	4.514e+04	2.125e+02	1.409e+05	3.754e+02	8.688e+04	2.948e+02	3.826e+04	1.956e+02	1.528e+05	3.909e+02	2.841e+04	1.686e+02	1.307e+05	3.615e+02	7.608e+04	2.758e+02	3.697e+04	1.923e+02
7	2.155e+04	1.468e+02	5.865e+04	2.422e+02	3.227e+04	1.796e+02	1.811e+05	4.255e+02	2.660e+05	5.157e+02	1.189e+05	3.449e+02	5.856e+04	2.420e+02	8.283e+04	2.878e+02	7.130e+04	2.670e+02	4.722e+04	2.173e+02	7.690e+04	2.773e+02	5.942e+04	2.438e+02	1.518e+05	3.897e+02	8.891e+04	2.982e+02	9.436e+04	3.072e+02	3.044e+04	1.745e+02	2.620e+04	1.618e+02	1.350e+05	3.674e+02	5.035e+04	2.244e+02	1.814e+05	4.259e+02	1.244e+05	3.528e+02	6.183e+04	2.487e+02	8.560e+04	2.926e+02	2.946e+04	1.716e+02	3.632e+04	1.906e+02	7.422e+04	2.724e+02	1.857e+05	4.309e+02	1.090e+05	3.302e+02	1.311e+05	3.621e+02	6.707e+04	2.590e+02	8.748e+04	2.958e+02	2.998e+04	1.731e+02	4.287e+04	2.070e+02	9.347e+04	3.057e+02	1.115e+05	3.339e+02	1.530e+05	3.912e+02	1.939e+04	1.392e+02	7.047e+04	2.655e+02	6.958e+04	2.638e+02	1.158e+05	3.403e+02	4.816e+04	2.195e+02	4.476e+04	2.116e+02	1.411e+05	3.757e+02	8.613e+04	2.935e+02	3.719e+04	1.928e+02	1.530e+05	3.911e+02	2.901e+04	1.703e+02	1.254e+05	3.542e+02	7.474e+04	2.734e+02	3.705e+04	1.925e+02
8	2.116e+04	1.455e+02	5.815e+04	2.411e+02	3.238e+04	1.799e+02	1.807e+05	4.251e+02	2.646e+05	5.144e+02	1.180e+05	3.435e+02	5.765e+04	2.401e+02	8.536e+04	2.922e+02	7.144e+04	2.673e+02	4.643e+04	2.155e+02	7.676e+04	2.771e+02	5.954e+04	2.440e+02	1.499e+05	3.871e+02	8.915e+04	2.986e+02	9.419e+04	3.069e+02	3.063e+04	1.750e+02	2.688e+04	1.639e+02	1.352e+05	3.677e+02	4.943e+04	2.223e+02	1.852e+05	4.304e+02	1.227e+05	3.502e+02	6.198e+04	2.490e+02	8.568e+04	2.927e+02	2.904e+04	1.704e+02	3.651e+04	1.911e+02	7.338e+04	2.709e+02	1.868e+05	4.321e+02	1.083e+05	3.291e+02	1.294e+05	3.597e+02	6.476e+04	2.545e+02	8.639e+04	2.939e+02	2.921e+04	1.709e+02	4.293e+04	2.072e+02	9.960e+04	3.156e+02	1.154e+05	3.398e+02	1.561e+05	3.951e+02	1.853e+04	1.361e+02	6.981e+04	2.642e+02	6.923e+04	2.631e+02	1.119e+05	3.345e+02	4.624e+04	2.150e+02	4.633e+04	2.152e+02	1.396e+05	3.737e+02	8.657e+04	2.942e+02	3.689e+04	1.921e+02	1.534e+05	3.917e+02	2.904e+04	1.704e+02	1.188e+05	3.447e+02	7.350e+04	2.711e+02	3.750e+04	1.937e+02
9	2.228e+04	1.493e+02	5.928e+04	2.435e+02	3.173e+04	1.781e+02	1.837e+05	4.286e+02	2.716e+05	5.211e+02	1.215e+05	3.485e+02	5.341e+04	2.311e+02	7.705e+04	2.776e+02	6.848e+04	2.617e+02	4.793e+04	2.189e+02	7.554e+04	2.748e+02	5.783e+04	2.405e+02	1.521e+05	3.900e+02	8.924e+04	2.987e+02	9.616e+04	3.101e+02	3.076e+04	1.754e+02	2.732e+04	1.653e+02	1.377e+05	3.711e+02	4.846e+04	2.201e+02	1.814e+05	4.259e+02	1.229e+05	3.506e+02	6.642e+04	2.577e+02	8.610e+04	2.934e+02	2.971e+04	1.724e+02	2.774e+04	1.666e+02	7.622e+04	2.761e+02	1.866e+05	4.319e+02	1.113e+05	3.336e+02	1.306e+05	3.614e+02	7.780e+04	2.789e+02	8.734e+04	2.955e+02	2.933e+04	1.713e+02	4.323e+04	2.079e+02	9.991e+04	3.161e+02	1.119e+05	3.345e+02	1.521e+05	3.899e+02	2.362e+04	1.537e+02	6.876e+04	2.622e+02	6.985e+04	2.643e+02	1.185e+05	3.442e+02	4.684e+04	2.164e+02	4.232e+04	2.057e+02	1.386e+05	3.723e+02	8.586e+04	2.930e+02	3.762e+04	1.940e+02	1.557e+05	3.946e+02	2.970e+04	1.723e+02	1.135e+05	3.369e+02	7.122e+04	2.669e+02	3.673e+04	1.917e+02
10	2.184e+04	1.478e+02	5.838e+04	2.416e+02	3.193e+04	1.787e+02	1.797e+05	4.240e+02	2.680e+05	5.177e+02	1.187e+05	3.445e+02	5.398e+04	2.323e+02	7.906e+04	2.812e+02	6.880e+04	2.623e+02	4.702e+04	2.169e+02	7.680e+04	2.771e+02	5.725e+04	2.393e+02	1.478e+05	3.844e+02	9.029e+04	3.005e+02	9.304e+04	3.050e+02	3.100e+04	1.761e+02	2.797e+04	1.672e+02	1.364e+05	3.693e+02	4.840e+04	2.200e+02	1.828e+05	4.275e+02	1.192e+05	3.453e+02	6.710e+04	2.590e+02	8.554e+04	2.925e+02	2.948e+04	1.717e+02	2.955e+04	1.719e+02	7.437e+04	2.727e+02	1.858e+05	4.311e+02	1.081e+05	3.287e+02	1.297e+05	3.602e+02	7.718e+04	2.778e+02	8.647e+04	2.941e+02	2.871e+04	1.694e+02	4.267e+04	2.066e+02	1.012e+05	3.180e+02	1.115e+05	3.339e+02	1.508e+05	3.883e+02	2.229e+04	1.493e+02	6.861e+04	2.619e+02	6.908e+04	2.628e+02	1.195e+05	3.458e+02	4.594e+04	2.143e+02	4.327e+04	2.080e+02	1.354e+05	3.680e+02	8.560e+04	2.926e+02	3.796e+04	1.948e+02	1.547e+05	3.933e+02	3.054e+04	1.747e+02	1.173e+05	3.424e+02	6.895e+04	2.626e+02	3.643e+04	1.909e+02
