# /Users/nicolettemeyer/Documents/Dekas_Lab_Work/Isotope_Dilution/nanoSIMS_October2017/Meth102817_Si33@1_1_p2-30/: 32S
# cell	MEAN1	Poiss_E1	MEAN2	Poiss_E2	MEAN3	Poiss_E3	MEAN4	Poiss_E4	MEAN5	Poiss_E5	MEAN6	Poiss_E6	MEAN7	Poiss_E7	MEAN8	Poiss_E8	MEAN9	Poiss_E9	MEAN10	Poiss_E10	MEAN11	Poiss_E11	MEAN12	Poiss_E12	MEAN13	Poiss_E13	MEAN14	Poiss_E14	MEAN15	Poiss_E15	MEAN16	Poiss_E16	MEAN17	Poiss_E17	MEAN18	Poiss_E18	MEAN19	Poiss_E19	MEAN20	Poiss_E20	MEAN21	Poiss_E21	MEAN22	Poiss_E22	MEAN23	Poiss_E23	MEAN24	Poiss_E24	MEAN25	Poiss_E25	MEAN26	Poiss_E26	MEAN27	Poiss_E27	MEAN28	Poiss_E28	MEAN29	Poiss_E29	MEAN30	Poiss_E30	MEAN31	Poiss_E31	MEAN32	Poiss_E32	MEAN33	Poiss_E33	MEAN34	Poiss_E34	MEAN35	Poiss_E35	MEAN36	Poiss_E36	MEAN37	Poiss_E37	MEAN38	Poiss_E38	MEAN39	Poiss_E39	MEAN40	Poiss_E40	MEAN41	Poiss_E41	MEAN42	Poiss_E42	MEAN43	Poiss_E43	MEAN44	Poiss_E44	MEAN45	Poiss_E45	MEAN46	Poiss_E46	MEAN47	Poiss_E47	MEAN48	Poiss_E48	MEAN49	Poiss_E49	MEAN50	Poiss_E50
# plane	POL=2		POL=2		POL=0		POL=1		POL=2		POL=0		POL=5		POL=3		POL=2		POL=0		POL=2		POL=1		POL=5		POL=0		POL=1		POL=5		POL=5		POL=5		POL=2		POL=3		POL=3		POL=1		POL=3		POL=0		POL=2		POL=4		POL=0		POL=5		POL=5		POL=1		POL=3		POL=1		POL=2		POL=1		POL=1		POL=2		POL=2		POL=4		POL=5		POL=4		POL=2		POL=2		POL=2		POL=2		POL=1		POL=5		POL=3		POL=1		POL=0		POL=0	
1	2.920e+02	1.709e+01	1.283e+03	3.582e+01	3.140e+02	1.772e+01	1.264e+04	1.124e+02	7.892e+03	8.884e+01	1.542e+03	3.927e+01	1.155e+03	3.399e+01	1.832e+04	1.354e+02	2.648e+03	5.146e+01	3.336e+03	5.776e+01	2.255e+03	4.749e+01	3.594e+03	5.995e+01	1.071e+04	1.035e+02	1.706e+03	4.130e+01	7.930e+02	2.816e+01	4.930e+02	2.220e+01	3.600e+02	1.897e+01	3.281e+03	5.728e+01	1.175e+03	3.428e+01	1.496e+04	1.223e+02	1.504e+03	3.878e+01	1.442e+03	3.797e+01	6.070e+02	2.464e+01	3.390e+02	1.841e+01	1.070e+03	3.271e+01	7.000e+02	2.646e+01	2.017e+03	4.491e+01	1.641e+03	4.051e+01	1.497e+03	3.869e+01	7.002e+03	8.368e+01	8.980e+02	2.997e+01	2.640e+02	1.625e+01	5.880e+02	2.425e+01	3.355e+03	5.792e+01	2.431e+03	4.931e+01	1.404e+04	1.185e+02	2.530e+02	1.591e+01	6.950e+02	2.636e+01	7.600e+02	2.757e+01	1.425e+03	3.775e+01	5.570e+02	2.360e+01	1.654e+03	4.067e+01	1.922e+03	4.384e+01	7.180e+02	2.680e+01	1.432e+03	3.784e+01	1.611e+03	4.014e+01	6.210e+02	2.492e+01	3.837e+03	6.194e+01	9.140e+02	3.023e+01	6.760e+02	2.600e+01
2	2.670e+02	1.634e+01	1.201e+03	3.466e+01	2.860e+02	1.691e+01	1.251e+04	1.119e+02	7.564e+03	8.697e+01	1.393e+03	3.732e+01	1.105e+03	3.324e+01	1.802e+04	1.343e+02	2.476e+03	4.976e+01	3.184e+03	5.643e+01	2.101e+03	4.584e+01	3.340e+03	5.779e+01	1.060e+04	1.030e+02	1.766e+03	4.202e+01	7.950e+02	2.820e+01	4.990e+02	2.234e+01	3.790e+02	1.947e+01	3.225e+03	5.679e+01	1.122e+03	3.350e+01	1.505e+04	1.227e+02	1.545e+03	3.931e+01	1.441e+03	3.796e+01	5.880e+02	2.425e+01	2.820e+02	1.679e+01	1.055e+03	3.248e+01	6.530e+02	2.555e+01	2.009e+03	4.482e+01	1.800e+03	4.243e+01	1.604e+03	4.005e+01	6.810e+03	8.252e+01	8.710e+02	2.951e+01	2.220e+02	1.490e+01	6.110e+02	2.472e+01	3.256e+03	5.706e+01	2.395e+03	4.894e+01	1.378e+04	1.174e+02	2.220e+02	1.490e+01	6.860e+02	2.619e+01	7.560e+02	2.750e+01	1.623e+03	4.029e+01	6.100e+02	2.470e+01	1.625e+03	4.031e+01	1.875e+03	4.330e+01	7.580e+02	2.753e+01	1.427e+03	3.778e+01	1.545e+03	3.931e+01	6.170e+02	2.484e+01	3.752e+03	6.125e+01	9.720e+02	3.118e+01	7.150e+02	2.674e+01
3	2.770e+02	1.664e+01	1.153e+03	3.396e+01	2.820e+02	1.679e+01	1.231e+04	1.110e+02	7.203e+03	8.487e+01	1.551e+03	3.938e+01	1.066e+03	3.265e+01	1.752e+04	1.324e+02	2.429e+03	4.928e+01	3.156e+03	5.618e+01	2.059e+03	4.538e+01	3.201e+03	5.658e+01	1.047e+04	1.023e+02	1.858e+03	4.310e+01	8.490e+02	2.914e+01	4.370e+02	2.090e+01	3.270e+02	1.808e+01	2.943e+03	5.425e+01	1.136e+03	3.370e+01	1.474e+04	1.214e+02	1.469e+03	3.833e+01	1.396e+03	3.736e+01	6.020e+02	2.454e+01	3.290e+02	1.814e+01	9.700e+02	3.114e+01	6.840e+02	2.615e+01	2.079e+03	4.560e+01	1.738e+03	4.169e+01	1.556e+03	3.945e+01	6.960e+03	8.343e+01	8.620e+02	2.936e+01	2.170e+02	1.473e+01	6.300e+02	2.510e+01	3.425e+03	5.852e+01	2.405e+03	4.904e+01	1.334e+04	1.155e+02	2.370e+02	1.539e+01	6.710e+02	2.590e+01	7.640e+02	2.764e+01	1.446e+03	3.803e+01	5.970e+02	2.443e+01	1.630e+03	4.037e+01	1.799e+03	4.241e+01	7.890e+02	2.809e+01	1.451e+03	3.809e+01	1.517e+03	3.895e+01	6.780e+02	2.604e+01	3.725e+03	6.103e+01	8.940e+02	2.990e+01	7.000e+02	2.646e+01
4	2.520e+02	1.587e+01	1.107e+03	3.327e+01	2.800e+02	1.673e+01	1.231e+04	1.110e+02	7.234e+03	8.505e+01	1.487e+03	3.856e+01	1.123e+03	3.351e+01	1.742e+04	1.320e+02	2.367e+03	4.865e+01	3.296e+03	5.741e+01	2.082e+03	4.563e+01	3.219e+03	5.674e+01	1.085e+04	1.041e+02	1.869e+03	4.323e+01	8.050e+02	2.837e+01	5.150e+02	2.269e+01	3.470e+02	1.863e+01	2.543e+03	5.043e+01	1.111e+03	3.333e+01	1.420e+04	1.192e+02	1.514e+03	3.891e+01	1.301e+03	3.607e+01	6.220e+02	2.494e+01	3.460e+02	1.860e+01	9.540e+02	3.089e+01	7.410e+02	2.722e+01	2.109e+03	4.592e+01	1.722e+03	4.150e+01	1.486e+03	3.855e+01	7.177e+03	8.472e+01	8.570e+02	2.927e+01	2.490e+02	1.578e+01	6.240e+02	2.498e+01	3.437e+03	5.863e+01	2.640e+03	5.138e+01	1.294e+04	1.137e+02	2.070e+02	1.439e+01	6.800e+02	2.608e+01	7.310e+02	2.704e+01	1.539e+03	3.923e+01	6.130e+02	2.476e+01	1.556e+03	3.945e+01	1.805e+03	4.249e+01	7.670e+02	2.769e+01	1.382e+03	3.718e+01	1.512e+03	3.888e+01	6.170e+02	2.484e+01	3.802e+03	6.166e+01	8.590e+02	2.931e+01	7.530e+02	2.744e+01
5	2.660e+02	1.631e+01	1.197e+03	3.460e+01	2.440e+02	1.562e+01	1.225e+04	1.107e+02	6.990e+03	8.361e+01	1.490e+03	3.860e+01	1.142e+03	3.379e+01	1.683e+04	1.297e+02	2.288e+03	4.783e+01	3.271e+03	5.719e+01	2.149e+03	4.636e+01	3.221e+03	5.675e+01	1.078e+04	1.038e+02	1.845e+03	4.295e+01	7.920e+02	2.814e+01	5.010e+02	2.238e+01	3.620e+02	1.903e+01	2.035e+03	4.511e+01	1.152e+03	3.394e+01	1.399e+04	1.183e+02	1.461e+03	3.822e+01	1.303e+03	3.610e+01	6.040e+02	2.458e+01	3.360e+02	1.833e+01	9.280e+02	3.046e+01	7.330e+02	2.707e+01	2.044e+03	4.521e+01	1.801e+03	4.244e+01	1.538e+03	3.922e+01	6.696e+03	8.183e+01	8.710e+02	2.951e+01	2.240e+02	1.497e+01	6.260e+02	2.502e+01	3.296e+03	5.741e+01	2.718e+03	5.213e+01	1.293e+04	1.137e+02	2.120e+02	1.456e+01	6.740e+02	2.596e+01	7.590e+02	2.755e+01	1.637e+03	4.046e+01	5.880e+02	2.425e+01	1.557e+03	3.946e+01	1.830e+03	4.278e+01	7.480e+02	2.735e+01	1.395e+03	3.735e+01	1.511e+03	3.887e+01	7.030e+02	2.651e+01	3.583e+03	5.986e+01	9.770e+02	3.126e+01	7.230e+02	2.689e+01
6	2.410e+02	1.552e+01	1.202e+03	3.467e+01	2.930e+02	1.712e+01	1.216e+04	1.103e+02	6.672e+03	8.168e+01	1.377e+03	3.711e+01	1.202e+03	3.467e+01	1.652e+04	1.285e+02	2.252e+03	4.746e+01	3.301e+03	5.745e+01	2.024e+03	4.499e+01	2.972e+03	5.452e+01	1.124e+04	1.060e+02	1.765e+03	4.201e+01	8.530e+02	2.921e+01	4.940e+02	2.223e+01	3.870e+02	1.967e+01	1.792e+03	4.233e+01	1.041e+03	3.226e+01	1.389e+04	1.178e+02	1.442e+03	3.797e+01	1.372e+03	3.704e+01	6.320e+02	2.514e+01	3.330e+02	1.825e+01	8.880e+02	2.980e+01	6.930e+02	2.632e+01	1.956e+03	4.423e+01	1.710e+03	4.135e+01	1.567e+03	3.959e+01	6.809e+03	8.252e+01	8.690e+02	2.948e+01	2.370e+02	1.539e+01	5.860e+02	2.421e+01	3.216e+03	5.671e+01	2.425e+03	4.924e+01	1.259e+04	1.122e+02	2.070e+02	1.439e+01	6.690e+02	2.587e+01	7.410e+02	2.722e+01	1.660e+03	4.074e+01	6.450e+02	2.540e+01	1.495e+03	3.867e+01	1.878e+03	4.334e+01	7.940e+02	2.818e+01	1.429e+03	3.780e+01	1.451e+03	3.809e+01	7.050e+02	2.655e+01	3.679e+03	6.065e+01	9.090e+02	3.015e+01	7.410e+02	2.722e+01
7	2.550e+02	1.597e+01	1.200e+03	3.464e+01	2.640e+02	1.625e+01	1.200e+04	1.095e+02	6.753e+03	8.218e+01	1.462e+03	3.824e+01	1.184e+03	3.441e+01	1.639e+04	1.280e+02	2.271e+03	4.766e+01	3.230e+03	5.683e+01	1.914e+03	4.375e+01	2.949e+03	5.430e+01	1.111e+04	1.054e+02	1.960e+03	4.427e+01	9.140e+02	3.023e+01	5.070e+02	2.252e+01	4.130e+02	2.032e+01	1.688e+03	4.109e+01	1.004e+03	3.169e+01	1.359e+04	1.166e+02	1.448e+03	3.805e+01	1.295e+03	3.599e+01	6.470e+02	2.544e+01	3.670e+02	1.916e+01	8.500e+02	2.915e+01	6.010e+02	2.452e+01	1.948e+03	4.414e+01	1.817e+03	4.263e+01	1.607e+03	4.009e+01	6.700e+03	8.185e+01	8.610e+02	2.934e+01	2.270e+02	1.507e+01	5.990e+02	2.447e+01	3.282e+03	5.729e+01	2.458e+03	4.958e+01	1.263e+04	1.124e+02	2.150e+02	1.466e+01	6.600e+02	2.569e+01	7.840e+02	2.800e+01	1.730e+03	4.159e+01	6.190e+02	2.488e+01	1.492e+03	3.863e+01	1.798e+03	4.240e+01	7.730e+02	2.780e+01	1.406e+03	3.750e+01	1.453e+03	3.812e+01	6.730e+02	2.594e+01	3.777e+03	6.146e+01	9.120e+02	3.020e+01	6.850e+02	2.617e+01
8	2.630e+02	1.622e+01	1.234e+03	3.513e+01	2.470e+02	1.572e+01	1.216e+04	1.103e+02	6.680e+03	8.173e+01	1.403e+03	3.746e+01	1.212e+03	3.481e+01	1.619e+04	1.272e+02	2.233e+03	4.725e+01	3.315e+03	5.758e+01	2.059e+03	4.538e+01	2.960e+03	5.441e+01	1.118e+04	1.057e+02	1.846e+03	4.297e+01	9.080e+02	3.013e+01	4.750e+02	2.179e+01	3.690e+02	1.921e+01	1.834e+03	4.283e+01	9.600e+02	3.098e+01	1.367e+04	1.169e+02	1.430e+03	3.782e+01	1.226e+03	3.501e+01	6.500e+02	2.550e+01	3.800e+02	1.949e+01	8.550e+02	2.924e+01	6.970e+02	2.640e+01	2.077e+03	4.557e+01	1.700e+03	4.123e+01	1.610e+03	4.012e+01	6.460e+03	8.037e+01	8.670e+02	2.944e+01	2.820e+02	1.679e+01	6.140e+02	2.478e+01	3.344e+03	5.783e+01	2.445e+03	4.945e+01	1.223e+04	1.106e+02	1.830e+02	1.353e+01	6.910e+02	2.629e+01	7.320e+02	2.706e+01	1.671e+03	4.088e+01	5.990e+02	2.447e+01	1.501e+03	3.874e+01	1.902e+03	4.361e+01	7.820e+02	2.796e+01	1.325e+03	3.640e+01	1.437e+03	3.791e+01	6.940e+02	2.634e+01	3.616e+03	6.013e+01	9.350e+02	3.058e+01	7.380e+02	2.717e+01
9	2.830e+02	1.682e+01	1.058e+03	3.253e+01	2.400e+02	1.549e+01	1.071e+04	1.035e+02	6.421e+03	8.013e+01	1.490e+03	3.860e+01	1.225e+03	3.500e+01	1.579e+04	1.257e+02	1.796e+03	4.238e+01	3.514e+03	5.928e+01	1.680e+03	4.099e+01	2.349e+03	4.847e+01	1.013e+04	1.007e+02	1.808e+03	4.252e+01	8.920e+02	2.987e+01	5.030e+02	2.243e+01	3.980e+02	1.995e+01	1.796e+03	4.238e+01	7.650e+02	2.766e+01	1.256e+04	1.121e+02	1.433e+03	3.785e+01	1.403e+03	3.746e+01	7.140e+02	2.672e+01	3.160e+02	1.778e+01	8.350e+02	2.890e+01	7.580e+02	2.753e+01	2.161e+03	4.649e+01	1.627e+03	4.034e+01	1.577e+03	3.971e+01	6.832e+03	8.266e+01	8.310e+02	2.883e+01	2.410e+02	1.552e+01	5.840e+02	2.417e+01	2.890e+03	5.376e+01	2.194e+03	4.684e+01	1.164e+04	1.079e+02	2.070e+02	1.439e+01	7.720e+02	2.778e+01	7.180e+02	2.680e+01	1.681e+03	4.100e+01	6.480e+02	2.546e+01	1.356e+03	3.682e+01	1.549e+03	3.936e+01	7.850e+02	2.802e+01	1.260e+03	3.550e+01	1.352e+03	3.677e+01	5.740e+02	2.396e+01	3.498e+03	5.914e+01	9.780e+02	3.127e+01	6.230e+02	2.496e+01
10	2.660e+02	1.631e+01	1.138e+03	3.373e+01	2.740e+02	1.655e+01	1.095e+04	1.046e+02	6.512e+03	8.070e+01	1.567e+03	3.959e+01	1.254e+03	3.541e+01	1.570e+04	1.253e+02	1.889e+03	4.346e+01	3.356e+03	5.793e+01	1.694e+03	4.116e+01	2.441e+03	4.941e+01	1.044e+04	1.022e+02	1.791e+03	4.232e+01	9.150e+02	3.025e+01	4.520e+02	2.126e+01	4.230e+02	2.057e+01	1.701e+03	4.124e+01	7.480e+02	2.735e+01	1.236e+04	1.112e+02	1.483e+03	3.851e+01	1.347e+03	3.670e+01	7.310e+02	2.704e+01	3.420e+02	1.849e+01	8.300e+02	2.881e+01	7.720e+02	2.778e+01	1.930e+03	4.393e+01	1.559e+03	3.948e+01	1.619e+03	4.024e+01	6.587e+03	8.116e+01	7.600e+02	2.757e+01	2.710e+02	1.646e+01	6.040e+02	2.458e+01	3.023e+03	5.498e+01	2.230e+03	4.722e+01	1.155e+04	1.075e+02	1.720e+02	1.311e+01	7.360e+02	2.713e+01	6.850e+02	2.617e+01	1.449e+03	3.807e+01	6.230e+02	2.496e+01	1.390e+03	3.728e+01	1.559e+03	3.948e+01	7.470e+02	2.733e+01	1.247e+03	3.531e+01	1.337e+03	3.657e+01	6.230e+02	2.496e+01	3.625e+03	6.021e+01	9.300e+02	3.050e+01	6.130e+02	2.476e+01
